dateQ;dateP;P_mm;Q_ls_filled;Q_ls;year
2020-05-19 09:19:00;2020-05-19 09:19:00;0.0;38.89703050425963;;2020
2020-05-19 09:24:00;2020-05-19 09:24:00;0.0;38.680370555175465;;2020
2020-05-19 09:29:00;2020-05-19 09:29:00;0.0;38.4637106060913;38.4637106060913;2020
2020-05-19 09:34:00;2020-05-19 09:34:00;0.0;39.441291100778;39.441291100778;2020
2020-05-19 09:39:00;2020-05-19 09:39:00;0.0;39.11456073905755;;2020
2020-05-19 09:44:00;2020-05-19 09:44:00;0.0;38.7878303773371;38.7878303773371;2020
2020-05-19 09:49:00;2020-05-19 09:49:00;0.0;38.86929539633878;;2020
2020-05-19 09:54:00;2020-05-19 09:54:00;0.0;38.95076041534045;;2020
2020-05-19 09:59:00;2020-05-19 09:59:00;0.0;39.03222543434212;;2020
2020-05-19 10:04:00;2020-05-19 10:04:00;0.0;39.1136904533438;39.1136904533438;2020
2020-05-19 10:09:00;2020-05-19 10:09:00;0.0;37.501790454253;37.501790454253;2020
2020-05-19 10:14:00;2020-05-19 10:14:00;0.0;38.4637106060913;38.4637106060913;2020
2020-05-19 10:19:00;2020-05-19 10:19:00;0.0;37.501790454253;37.501790454253;2020
2020-05-19 10:24:00;2020-05-19 10:24:00;0.0;38.4637106060913;38.4637106060913;2020
2020-05-19 10:29:00;2020-05-19 10:29:00;0.0;38.24937070779953;;2020
2020-05-19 10:34:00;2020-05-19 10:34:00;0.0;38.03503080950777;;2020
2020-05-19 10:39:00;2020-05-19 10:39:00;0.0;37.820690911216;37.820690911216;2020
2020-05-19 10:44:00;2020-05-19 10:44:00;0.0;37.7569108198234;;2020
2020-05-19 10:49:00;2020-05-19 10:49:00;0.0;37.6931307284308;;2020
2020-05-19 10:54:00;2020-05-19 10:54:00;0.0;37.6293506370382;;2020
2020-05-19 10:59:00;2020-05-19 10:59:00;0.0;37.5655705456456;;2020
2020-05-19 11:04:00;2020-05-19 11:04:00;0.0;37.501790454253;37.501790454253;2020
2020-05-19 11:09:00;2020-05-19 11:09:00;0.0;38.4637106060913;38.4637106060913;2020
2020-05-19 11:14:00;2020-05-19 11:14:00;0.0;37.820690911216;37.820690911216;2020
2020-05-19 11:19:00;2020-05-19 11:19:00;0.0;37.98144583493482;;2020
2020-05-19 11:24:00;2020-05-19 11:24:00;0.0;38.14220075865365;;2020
2020-05-19 11:29:00;2020-05-19 11:29:00;0.0;38.30295568237247;;2020
2020-05-19 11:34:00;2020-05-19 11:34:00;0.0;38.4637106060913;38.4637106060913;2020
2020-05-19 11:39:00;2020-05-19 11:39:00;0.0;37.98275053017215;;2020
2020-05-19 11:44:00;2020-05-19 11:44:00;0.0;37.501790454253;37.501790454253;2020
