name;n_points;dt_sec_nominal;duration_h;Q_max_ls;Qb_m3s_used;model;k_unique_s-1;k_fast_s-1;k_slow_s-1;t_break_h;R2_single;R2_two;R2_1;R2_2;BIC_single;BIC_two;delta_BIC
rec_20200428_0244;11;300.0;0.8333333333333334;46.359234715917;0.039441291100778;single;3.8711319490207235e-05;;;;0.005382980179553298;;;;-10.488614542871332;;
rec_20200513_1554;10;300.0;0.75;203.933609733065;0.1625571147606572;single;5.989223307870038e-05;;;;0.034653217427376704;;;;-21.4053546324365;;
rec_20200613_0434;12;300.0;0.9166666666666666;872.352491483461;0.682471497080958;single;0.00044999394527286274;;;;0.694228317952826;;;;-23.19433237020903;;
rec_20200613_1249;11;300.0;0.8333333333333334;539.961627702408;0.493527061837073;single;1.9602803368758832e-05;;;;0.02866299393011129;;;;-44.115261809618275;;
rec_20200613_1409;12;300.0;0.9166666666666666;482.690817913659;0.44934396608848465;single;1.5628961224909872e-05;;;;0.018688495298404106;;;;-46.465606522061556;;
rec_20200614_1524;10;300.0;0.75;226.001953724537;0.21994768361627412;single;3.33969465102675e-06;;;;0.0001426743093646543;;;;-23.86163788063127;;
rec_20200615_0639;12;300.0;0.9166666666666666;167.796951743833;0.1619690902624785;single;6.9012852367318565e-06;;;;0.0006785568245599727;;;;-26.077058546030162;;
rec_20200813_1824;11;300.0;0.8333333333333334;13.2660344058117;0.00964540350763219;single;7.968671256752844e-05;;;;0.011334987496718574;;;;-2.862453300544354;;
rec_20200909_1454;11;300.0;0.8333333333333334;2.89479133985188;0.00186859960157806;single;0.00011852630648773588;;;;0.013800596751665672;;;;3.6797913117186027;;
rec_20200919_1539;13;300.0;1.0;130.279927618099;0.09282796002217844;single;0.00042602348812085367;;;;0.41294765131413014;;;;-9.477118533271703;;
rec_20201002_1844;10;300.0;0.75;100.89299856968;0.08647886855169559;single;4.1841374795682474e-05;;;;0.008898833710479837;;;;-14.720582026364083;;
rec_20201004_1644;11;300.0;0.9166666666666666;68.0754284558572;0.0644816335627012;single;1.2792971801089267e-05;;;;0.0010556462853807957;;;;-14.015067748478511;;
rec_20201005_0754;10;300.0;0.75;55.1784835109029;0.05314311980158797;single;4.801033938166354e-06;;;;7.866378659171502e-05;;;;-10.648143641505992;;
rec_20201011_1329;11;300.0;0.9166666666666666;36.2435783406771;0.034408399979808005;single;4.445005300273371e-06;;;;8.385709503744287e-05;;;;-9.40016149153672;;
rec_20201023_1404;11;300.0;0.8333333333333334;297.314546835487;0.26511832182676887;single;0.00029238002060955043;;;;0.17376433425579008;;;;-6.265613856667205;;
rec_20201110_1914;11;300.0;0.8333333333333334;74.635738585363;0.0717818828536991;single;1.0264434923529839e-06;;;;5.679673037883859e-06;;;;-14.894869987644789;;
rec_20201112_0354;10;300.0;0.75;61.000361640899;0.05883979881166407;single;2.745853958217354e-06;;;;2.768724538260159e-05;;;;-11.38030684039937;;
