year;event_id;i0;i1;hp_mm;hr_mm;P_ante_mm;Q0_Ls;V_excess_m3;preflow_class
2020;1;2571;15156;136.5;21.702810564073456;0.0;17.5042485697852;17579.2765568995;très humide (>15 L/s)
2020;2;16023;22863;86.0;12.849040731605104;0.0;15.3860616831237;10407.722992600133;très humide (>15 L/s)
2020;3;23804;26316;14.5;0.08426654526202028;0.0;15.7505692100757;68.25590166223643;très humide (>15 L/s)
2020;4;31431;36706;96.5;4.596607257005041;0.0;5.57372984523275;3723.2518781740832;humide (5–15 L/s)
2020;5;37421;40814;120.0;24.963047560170526;0.0;15.5635391726758;20220.068523738126;très humide (>15 L/s)
2020;6;44471;49785;436.0;209.24686133091896;0.0;8.73197169614137;169489.95767804436;humide (5–15 L/s)
2020;7;52594;54072;4.0;0.020059647293598264;0.0;11.3584787759299;16.248314307814596;humide (5–15 L/s)
2020;8;58427;60000;2.0;0.001967315706960855;0.0;2.03703835277194;1.5935257226382926;sec (1–5 L/s)
2020;9;64801;67176;39.0;0.39889218888190453;0.0;0.920453268756432;323.1026729943427;très sec (Q0 < 1 L/s)
2020;10;72670;72816;11.5;0.011536062208113127;0.0;0.780861777270704;9.344210388571634;très sec (Q0 < 1 L/s)
2020;11;75447;81428;354.5;64.41972460593313;0.0;0.751249465468472;52179.97693080583;très sec (Q0 < 1 L/s)
2020;12;82561;82628;1.0;9.88293756051851e-05;0.0;28.74232379254;0.08005179424019992;très humide (>15 L/s)
2020;13;82787;87076;165.5;61.0577917954764;1.0;26.6699114508644;49456.811354335885;très humide (>15 L/s)
2020;14;89332;91459;100.0;28.43121656520215;0.0;20.9062552637249;23029.285417813742;très humide (>15 L/s)
2020;15;91559;92738;41.0;2.114482383423025;0.0;47.0894096488368;1712.7307305726504;très humide (>15 L/s)
2020;16;94784;102658;204.5;94.81941150208357;0.0;24.9473333185187;76803.72331668768;très humide (>15 L/s)
2020;17;103031;103361;6.5;0.0;0.0;92.0088260798146;0.0;très humide (>15 L/s)
2021;1;3320;16764;156.5;84.37122080434105;0.0;12.6079604518047;68340.68885151624;humide (5–15 L/s)
2021;2;18739;22115;10.0;0.0979010731142846;0.0;21.7559895870357;79.29986922257054;très humide (>15 L/s)
