dateQ;dateP;P_mm;Q_ls_filled;Q_ls;year
2022-06-08 13:49:00;2022-06-08 13:49:00;0.0;2.0974901722972064;;2022
2022-06-08 13:54:00;2022-06-08 13:54:00;0.0;2.089274400171868;;2022
2022-06-08 13:59:00;2022-06-08 13:59:00;0.0;2.08105862804653;2.08105862804653;2022
2022-06-08 14:04:00;2022-06-08 14:04:00;0.0;2.12585463484249;2.12585463484249;2022
2022-06-08 14:09:00;2022-06-08 14:09:00;0.0;2.26495452701301;2.26495452701301;2022
2022-06-08 14:14:00;2022-06-08 14:14:00;0.0;2.17143212142525;2.17143212142525;2022
2022-06-08 14:19:00;2022-06-08 14:19:00;0.0;2.20260625662117;;2022
2022-06-08 14:24:00;2022-06-08 14:24:00;0.0;2.23378039181709;;2022
2022-06-08 14:29:00;2022-06-08 14:29:00;0.0;2.26495452701301;2.26495452701301;2022
2022-06-08 14:34:00;2022-06-08 14:34:00;0.0;2.1954045809277503;;2022
2022-06-08 14:39:00;2022-06-08 14:39:00;0.0;2.12585463484249;2.12585463484249;2022
2022-06-08 14:44:00;2022-06-08 14:44:00;0.0;2.26495452701301;2.26495452701301;2022
2022-06-08 14:49:00;2022-06-08 14:49:00;0.0;2.17143212142525;2.17143212142525;2022
2022-06-08 14:54:00;2022-06-08 14:54:00;0.0;2.1413076236323434;;2022
2022-06-08 14:59:00;2022-06-08 14:59:00;0.0;2.1111831258394367;;2022
2022-06-08 15:04:00;2022-06-08 15:04:00;0.0;2.08105862804653;2.08105862804653;2022
2022-06-08 15:09:00;2022-06-08 15:09:00;0.0;2.26495452701301;2.26495452701301;2022
2022-06-08 15:14:00;2022-06-08 15:14:00;0.0;2.17143212142525;2.17143212142525;2022
2022-06-08 15:19:00;2022-06-08 15:19:00;0.0;2.1948127228221903;;2022
2022-06-08 15:24:00;2022-06-08 15:24:00;0.0;2.21819332421913;;2022
2022-06-08 15:29:00;2022-06-08 15:29:00;0.0;2.24157392561607;;2022
2022-06-08 15:34:00;2022-06-08 15:34:00;0.0;2.26495452701301;2.26495452701301;2022
2022-06-08 15:39:00;2022-06-08 15:39:00;0.0;2.08105862804653;2.08105862804653;2022
2022-06-08 15:44:00;2022-06-08 15:44:00;0.0;2.17300657752977;;2022
2022-06-08 15:49:00;2022-06-08 15:49:00;0.0;2.26495452701301;2.26495452701301;2022
2022-06-08 15:54:00;2022-06-08 15:54:00;0.0;2.12585463484249;2.12585463484249;2022
2022-06-08 15:59:00;2022-06-08 15:59:00;0.0;2.219382788695695;;2022
2022-06-08 16:04:00;2022-06-08 16:04:00;0.0;2.3129109425489;2.3129109425489;2022
2022-06-08 16:09:00;2022-06-08 16:09:00;0.0;2.21779683606027;2.21779683606027;2022
2022-06-08 16:14:00;2022-06-08 16:14:00;0.0;2.204662235886301;;2022
2022-06-08 16:19:00;2022-06-08 16:19:00;0.0;2.1915276357123328;;2022
2022-06-08 16:24:00;2022-06-08 16:24:00;0.0;2.178393035538364;;2022
2022-06-08 16:29:00;2022-06-08 16:29:00;0.0;2.165258435364396;;2022
2022-06-08 16:34:00;2022-06-08 16:34:00;0.0;2.152123835190427;;2022
2022-06-08 16:39:00;2022-06-08 16:39:00;0.0;2.1389892350164588;;2022
2022-06-08 16:44:00;2022-06-08 16:44:00;0.0;2.12585463484249;2.12585463484249;2022
2022-06-08 16:49:00;2022-06-08 16:49:00;0.0;2.17182573545138;;2022
2022-06-08 16:54:00;2022-06-08 16:54:00;0.0;2.21779683606027;2.21779683606027;2022
2022-06-08 16:59:00;2022-06-08 16:59:00;0.0;2.21779683606027;;2022
2022-06-08 17:04:00;2022-06-08 17:04:00;0.0;2.21779683606027;2.21779683606027;2022
2022-06-08 17:09:00;2022-06-08 17:09:00;0.0;2.213933109840685;;2022
2022-06-08 17:14:00;2022-06-08 17:14:00;0.0;2.2100693836211;;2022
2022-06-08 17:19:00;2022-06-08 17:19:00;0.0;2.2062056574015148;;2022
2022-06-08 17:24:00;2022-06-08 17:24:00;0.0;2.20234193118193;;2022
2022-06-08 17:29:00;2022-06-08 17:29:00;0.0;2.198478204962345;;2022
2022-06-08 17:34:00;2022-06-08 17:34:00;0.0;2.19461447874276;;2022
2022-06-08 17:39:00;2022-06-08 17:39:00;0.0;2.190750752523175;;2022
2022-06-08 17:44:00;2022-06-08 17:44:00;0.0;2.18688702630359;;2022
2022-06-08 17:49:00;2022-06-08 17:49:00;0.0;2.183023300084005;;2022
2022-06-08 17:54:00;2022-06-08 17:54:00;0.0;2.1791595738644203;;2022
2022-06-08 17:59:00;2022-06-08 17:59:00;0.0;2.175295847644835;;2022
2022-06-08 18:04:00;2022-06-08 18:04:00;0.0;2.17143212142525;2.17143212142525;2022
2022-06-08 18:09:00;2022-06-08 18:09:00;0.0;2.18312242212372;;2022
2022-06-08 18:14:00;2022-06-08 18:14:00;0.0;2.1948127228221903;;2022
2022-06-08 18:19:00;2022-06-08 18:19:00;0.0;2.20650302352066;;2022
2022-06-08 18:24:00;2022-06-08 18:24:00;0.0;2.21819332421913;;2022
2022-06-08 18:29:00;2022-06-08 18:29:00;0.0;2.2298836249176;;2022
2022-06-08 18:34:00;2022-06-08 18:34:00;0.0;2.24157392561607;;2022
2022-06-08 18:39:00;2022-06-08 18:39:00;0.0;2.25326422631454;;2022
2022-06-08 18:44:00;2022-06-08 18:44:00;0.0;2.26495452701301;2.26495452701301;2022
2022-06-08 18:49:00;2022-06-08 18:49:00;0.0;2.253165104274825;;2022
2022-06-08 18:54:00;2022-06-08 18:54:00;0.0;2.24137568153664;;2022
2022-06-08 18:59:00;2022-06-08 18:59:00;0.0;2.229586258798455;;2022
2022-06-08 19:04:00;2022-06-08 19:04:00;0.0;2.21779683606027;2.21779683606027;2022
2022-06-08 19:09:00;2022-06-08 19:09:00;0.0;2.21779683606027;;2022
2022-06-08 19:14:00;2022-06-08 19:14:00;0.0;2.21779683606027;;2022
2022-06-08 19:19:00;2022-06-08 19:19:00;0.0;2.21779683606027;;2022
2022-06-08 19:24:00;2022-06-08 19:24:00;0.0;2.21779683606027;;2022
2022-06-08 19:29:00;2022-06-08 19:29:00;0.0;2.21779683606027;;2022
2022-06-08 19:34:00;2022-06-08 19:34:00;0.0;2.21779683606027;;2022
2022-06-08 19:39:00;2022-06-08 19:39:00;0.0;2.21779683606027;;2022
2022-06-08 19:44:00;2022-06-08 19:44:00;0.0;2.21779683606027;;2022
2022-06-08 19:49:00;2022-06-08 19:49:00;0.0;2.21779683606027;;2022
2022-06-08 19:54:00;2022-06-08 19:54:00;0.0;2.21779683606027;;2022
2022-06-08 19:59:00;2022-06-08 19:59:00;0.0;2.21779683606027;;2022
2022-06-08 20:04:00;2022-06-08 20:04:00;0.0;2.21779683606027;2.21779683606027;2022
2022-06-08 20:09:00;2022-06-08 20:09:00;0.0;2.226443573013781;;2022
2022-06-08 20:14:00;2022-06-08 20:14:00;0.0;2.2350903099672936;;2022
2022-06-08 20:19:00;2022-06-08 20:19:00;0.0;2.2437370469208053;;2022
2022-06-08 20:24:00;2022-06-08 20:24:00;0.0;2.252383783874317;;2022
2022-06-08 20:29:00;2022-06-08 20:29:00;0.0;2.2610305208278287;;2022
2022-06-08 20:34:00;2022-06-08 20:34:00;0.0;2.269677257781341;;2022
2022-06-08 20:39:00;2022-06-08 20:39:00;0.0;2.2783239947348526;;2022
2022-06-08 20:44:00;2022-06-08 20:44:00;0.0;2.2869707316883643;;2022
2022-06-08 20:49:00;2022-06-08 20:49:00;0.5;2.295617468641876;;2022
2022-06-08 20:54:00;2022-06-08 20:54:00;0.0;2.304264205595388;;2022
2022-06-08 20:59:00;2022-06-08 20:59:00;0.0;2.3129109425489;2.3129109425489;2022
2022-06-08 21:04:00;2022-06-08 21:04:00;0.0;2.3129109425489;2.3129109425489;2022
