dateP,P_mm,Q_m3s
2022-01-04 22:24:27,0.5,0.018522338084191698
2022-01-04 22:29:00,0.0,
2022-01-04 22:34:00,0.0,
2022-01-04 22:39:00,0.0,
2022-01-04 22:44:00,0.5,
2022-01-04 22:49:00,0.0,
2022-01-04 22:54:00,0.5,0.018902452788725
2022-01-04 22:59:00,0.5,
2022-01-04 23:04:38,0.5,0.0190950896648
2022-01-04 23:09:00,0.0,
2022-01-04 23:14:00,0.0,0.0194855237979
2022-01-04 23:19:00,0.0,
2022-01-04 23:24:00,0.0,
2022-01-04 23:29:00,0.0,
2022-01-04 23:34:00,0.0,
2022-01-04 23:39:00,0.0,
2022-01-04 23:44:00,0.0,
2022-01-04 23:49:00,0.0,
2022-01-04 23:54:00,0.5,
2022-01-04 23:59:00,0.0,
2022-01-05 00:04:00,0.0,0.019289446578969402
2022-01-05 00:09:00,0.0,
2022-01-05 00:14:00,0.0,
2022-01-05 00:19:00,0.0,
2022-01-05 00:24:00,0.0,0.0198828402167111
2022-01-05 00:29:00,0.0,
2022-01-05 00:34:00,0.0,
2022-01-05 00:39:00,0.0,
2022-01-05 00:44:00,0.0,
2022-01-05 00:49:00,0.0,
2022-01-05 00:54:00,0.0,
2022-01-05 00:59:00,0.0,
2022-01-05 01:04:00,0.0,0.020084079949924998
2022-01-05 01:09:00,0.0,
2022-01-05 01:14:00,0.0,
2022-01-05 01:19:00,0.0,
2022-01-05 01:24:00,0.0,
2022-01-05 01:29:00,0.0,
2022-01-05 01:34:00,0.0,
2022-01-05 01:39:00,0.0,0.0196833215882583
2022-01-05 01:44:00,0.0,
2022-01-05 01:49:00,0.0,
2022-01-05 01:54:00,0.0,
2022-01-05 01:59:00,0.0,
2022-01-05 02:04:00,0.0,0.0194855237979
2022-01-05 02:09:00,0.0,
2022-01-05 02:14:00,0.0,
2022-01-05 02:19:00,0.0,0.0198828402167111
2022-01-05 02:24:00,0.0,0.0194855237979
2022-01-05 02:29:00,0.0,
2022-01-05 02:34:00,0.0,
2022-01-05 02:39:00,0.0,
2022-01-05 02:44:00,0.0,
2022-01-05 02:49:00,0.0,
2022-01-05 02:54:00,0.0,
2022-01-05 02:59:00,0.0,
2022-01-05 03:04:00,0.0,0.0196833215882583
2022-01-05 03:09:00,0.0,
2022-01-05 03:14:00,0.0,
2022-01-05 03:19:00,0.0,
2022-01-05 03:24:00,0.0,
2022-01-05 03:29:00,0.0,
2022-01-05 03:34:00,0.0,
2022-01-05 03:39:00,0.0,
2022-01-05 03:44:00,0.0,0.019289446578969402
2022-01-05 03:49:00,0.0,0.0198828402167111
2022-01-05 03:54:00,0.0,0.0194855237979
2022-01-05 03:59:00,0.0,
2022-01-05 04:04:00,0.0,0.019289446578969402
2022-01-05 04:09:00,0.0,
2022-01-05 04:14:00,0.0,
2022-01-05 04:19:00,0.0,
2022-01-05 04:24:00,0.0,
2022-01-05 04:29:00,0.0,
2022-01-05 04:34:00,0.0,
2022-01-05 04:39:00,0.0,
2022-01-05 04:44:00,0.0,
2022-01-05 04:49:00,0.0,
2022-01-05 04:54:00,0.0,
2022-01-05 04:59:00,0.0,
2022-01-05 05:04:00,0.0,0.0190950896648
2022-01-05 05:09:00,0.0,
2022-01-05 05:14:00,0.0,
2022-01-05 05:19:00,0.0,
2022-01-05 05:24:00,0.0,
2022-01-05 05:29:00,0.0,
2022-01-05 05:34:00,0.0,
2022-01-05 05:39:00,0.0,
2022-01-05 05:44:00,0.0,
2022-01-05 05:49:00,0.0,
2022-01-05 05:54:00,0.0,
2022-01-05 05:59:00,0.0,
2022-01-05 06:04:00,0.0,0.018902452788725
2022-01-05 06:09:00,0.0,
2022-01-05 06:14:00,0.0,
2022-01-05 06:19:00,0.0,
2022-01-05 06:24:00,0.0,
2022-01-05 06:29:00,0.0,
2022-01-05 06:34:00,0.0,
2022-01-05 06:39:00,0.0,
2022-01-05 06:44:00,0.0,
2022-01-05 06:49:00,0.0,
2022-01-05 06:54:00,0.0,0.018522338084191698
2022-01-05 06:59:00,0.0,
2022-01-05 07:04:00,0.0,0.018522338084191698
2022-01-05 07:09:00,0.0,0.018902452788725
2022-01-05 07:14:00,0.0,
2022-01-05 07:19:00,0.0,0.018522338084191698
2022-01-05 07:24:00,0.0,
2022-01-05 07:29:00,0.0,
2022-01-05 07:34:00,0.0,
2022-01-05 07:39:00,0.0,
2022-01-05 07:44:00,0.0,
2022-01-05 07:49:00,0.0,0.019289446578969402
2022-01-05 07:54:00,0.0,0.018522338084191698
2022-01-05 07:59:00,0.0,
2022-01-05 08:04:00,0.0,0.018902452788725
2022-01-05 08:09:00,0.0,
2022-01-05 08:14:00,0.0,
2022-01-05 08:19:00,0.0,
2022-01-05 08:24:00,0.0,0.018522338084191698
2022-01-05 08:29:00,0.0,
2022-01-05 08:34:00,0.0,0.018149100332036303
2022-01-05 08:39:00,0.0,0.018522338084191698
2022-01-05 08:44:00,0.0,
2022-01-05 08:49:00,0.0,0.018149100332036303
2022-01-05 08:54:00,0.0,0.018522338084191698
2022-01-05 08:59:00,0.0,
2022-01-05 09:04:00,0.0,0.018522338084191698
2022-01-05 09:09:00,0.0,
2022-01-05 09:14:00,0.0,0.018902452788725
2022-01-05 09:19:00,0.0,0.0183348597224001
2022-01-05 09:24:00,0.0,0.0187115356840778
2022-01-05 09:29:00,0.0,0.018149100332036303
2022-01-05 09:34:00,0.0,0.018522338084191698
2022-01-05 09:39:00,0.0,0.0179650596464336
2022-01-05 09:44:00,0.0,0.0183348597224001
2022-01-05 09:49:00,0.0,
2022-01-05 09:54:00,0.0,
