dateP,P_mm,Q_m3s
2022-10-31 10:54:09,0.5,
2022-10-31 10:59:00,0.0,
2022-10-31 11:04:00,0.0,0.009246358223301231
2022-10-31 11:09:00,0.0,
2022-10-31 11:14:00,0.0,
2022-10-31 11:19:00,0.0,
2022-10-31 11:24:00,0.0,
2022-10-31 11:29:00,0.0,
2022-10-31 11:34:00,0.0,
2022-10-31 11:39:00,0.0,
2022-10-31 11:44:00,0.0,
2022-10-31 11:49:00,0.0,
2022-10-31 11:54:00,0.0,
2022-10-31 11:59:00,0.0,
2022-10-31 12:04:00,0.0,0.009246358223301231
2022-10-31 12:09:00,0.0,
2022-10-31 12:14:00,0.0,
2022-10-31 12:19:00,0.0,
2022-10-31 12:24:00,0.0,
2022-10-31 12:29:00,0.0,
2022-10-31 12:34:00,0.0,
2022-10-31 12:39:00,0.0,
2022-10-31 12:44:00,0.0,
2022-10-31 12:49:00,0.0,
2022-10-31 12:54:00,0.0,
2022-10-31 12:59:00,0.0,
2022-10-31 13:04:00,0.0,0.009246358223301231
2022-10-31 13:09:00,0.0,
2022-10-31 13:14:00,0.0,
2022-10-31 13:19:00,0.0,
2022-10-31 13:24:00,0.0,
2022-10-31 13:29:00,0.0,
2022-10-31 13:34:00,0.0,
2022-10-31 13:39:00,0.0,
2022-10-31 13:44:00,0.0,
2022-10-31 13:49:00,0.0,
2022-10-31 13:54:00,0.0,
2022-10-31 13:59:00,0.0,
2022-10-31 14:04:00,0.0,0.009246358223301231
2022-10-31 14:09:00,0.0,
2022-10-31 14:14:00,0.5,
2022-10-31 14:19:00,0.0,
2022-10-31 14:24:00,0.0,0.009511114498328
2022-10-31 14:29:00,0.0,0.009780974095817501
2022-10-31 14:34:00,0.0,0.009511114498328
2022-10-31 14:39:00,0.0,
2022-10-31 14:44:00,0.0,
2022-10-31 14:49:00,0.0,
2022-10-31 14:54:00,0.5,
2022-10-31 14:59:00,0.0,
2022-10-31 15:04:00,0.0,0.009511114498328
2022-10-31 15:09:00,0.0,
2022-10-31 15:14:00,1.0,
2022-10-31 15:19:00,0.0,0.009780974095817501
2022-10-31 15:24:00,0.0,
2022-10-31 15:29:00,1.0,
2022-10-31 15:34:00,2.5,0.010336187202679101
2022-10-31 15:39:00,0.0,0.012446947694442
2022-10-31 15:44:00,0.0,
2022-10-31 15:49:00,0.0,
2022-10-31 15:54:00,0.0,
2022-10-31 15:59:00,0.0,
2022-10-31 16:04:00,0.0,0.0119722312048404
2022-10-31 16:09:00,0.0,0.0116626308811902
2022-10-31 16:14:06,0.5,0.0113584787759299
2022-10-31 16:19:00,0.0,
2022-10-31 16:24:00,0.0,
2022-10-31 16:29:00,0.0,
2022-10-31 16:34:00,0.0,
2022-10-31 16:39:00,0.0,
2022-10-31 16:44:00,0.0,
2022-10-31 16:49:00,0.0,
2022-10-31 16:54:00,0.0,
2022-10-31 16:59:00,0.0,
2022-10-31 17:04:00,0.0,0.0115098766753941
2022-10-31 17:09:00,0.0,
2022-10-31 17:14:00,0.0,
2022-10-31 17:19:00,0.0,
2022-10-31 17:24:00,0.0,0.0112084314345323
2022-10-31 17:29:00,0.0,
2022-10-31 17:34:00,0.0,0.0115098766753941
2022-10-31 17:39:00,0.0,0.0112084314345323
2022-10-31 17:44:00,0.0,0.0116626308811902
2022-10-31 17:49:00,0.0,
2022-10-31 17:54:00,0.0,0.0121290888192253
2022-10-31 17:59:00,0.0,0.012607960451804701
2022-10-31 18:04:00,0.0,0.0130994009820956
2022-10-31 18:09:00,0.0,
2022-10-31 18:14:00,0.5,
2022-10-31 18:19:00,0.0,0.0136035656132653
2022-10-31 18:24:00,0.0,
2022-10-31 18:29:00,0.0,0.0132660344058117
2022-10-31 18:34:00,0.0,
2022-10-31 18:39:00,0.0,
2022-10-31 18:44:00,0.0,
2022-10-31 18:49:00,0.0,
2022-10-31 18:54:00,0.0,
2022-10-31 18:59:00,0.0,
2022-10-31 19:04:00,0.0,0.012934181347366099
2022-10-31 19:09:00,0.5,
2022-10-31 19:14:00,0.0,
2022-10-31 19:19:00,0.0,
2022-10-31 19:24:00,0.0,0.012607960451804701
2022-10-31 19:29:00,0.0,
2022-10-31 19:34:00,0.0,
2022-10-31 19:39:00,0.0,
2022-10-31 19:44:00,0.0,
2022-10-31 19:49:00,0.0,
2022-10-31 19:54:00,0.0,
2022-10-31 19:59:00,0.0,
2022-10-31 20:04:00,0.0,0.012446947694442
2022-10-31 20:09:00,0.0,0.0121290888192253
2022-10-31 20:14:00,0.0,
2022-10-31 20:19:00,0.0,
2022-10-31 20:24:00,0.5,
2022-10-31 20:29:00,0.0,
2022-10-31 20:34:00,0.0,0.012446947694442
2022-10-31 20:39:00,0.0,
2022-10-31 20:44:00,0.0,
2022-10-31 20:49:00,0.0,
2022-10-31 20:54:00,0.0,
2022-10-31 20:59:00,0.0,
2022-10-31 21:04:00,0.0,0.012446947694442
2022-10-31 21:09:00,0.0,0.0127703697533576
2022-10-31 21:14:00,0.0,0.012446947694442
2022-10-31 21:19:00,0.0,
2022-10-31 21:24:00,0.0,
2022-10-31 21:29:00,0.5,
2022-10-31 21:34:00,0.0,
2022-10-31 21:39:00,0.0,
2022-10-31 21:44:00,0.0,0.0127703697533576
2022-10-31 21:49:00,0.0,
2022-10-31 21:54:00,0.0,
2022-10-31 21:59:00,0.0,
2022-10-31 22:04:00,0.0,0.012607960451804701
2022-10-31 22:09:00,0.0,
2022-10-31 22:14:00,0.0,
2022-10-31 22:19:00,0.0,
2022-10-31 22:24:00,0.0,
2022-10-31 22:29:00,0.0,
2022-10-31 22:34:00,0.0,
2022-10-31 22:39:00,0.0,
2022-10-31 22:44:00,0.0,0.012287325733004
2022-10-31 22:49:00,0.0,
2022-10-31 22:54:00,0.0,
