dateP,P_mm,Q_m3s
2020-08-28 08:39:00,1.0,
2020-08-28 08:44:20,1.0,0.0009204532687564319
2020-08-28 08:49:15,1.5,
2020-08-28 08:54:00,1.5,0.00104863385532262
2020-08-28 08:59:00,1.0,0.001253217882359
2020-08-28 09:04:00,0.0,0.0014018105266482498
2020-08-28 09:09:00,0.0,
2020-08-28 09:14:00,0.5,0.0014659131857083301
2020-08-28 09:19:00,0.5,
2020-08-28 09:24:00,0.0,0.001567209739518
2020-08-28 09:29:00,0.5,
2020-08-28 09:34:00,0.0,
2020-08-28 09:39:00,0.5,
2020-08-28 09:44:00,0.0,
2020-08-28 09:49:00,0.5,
2020-08-28 09:54:00,0.0,
2020-08-28 09:59:49,0.5,
2020-08-28 10:04:00,0.5,0.0015327508818649002
2020-08-28 10:09:00,0.0,0.00160236960124158
2020-08-28 10:14:00,0.0,
2020-08-28 10:19:00,0.0,
2020-08-28 10:24:00,0.0,
2020-08-28 10:29:00,0.0,0.0015327508818649002
2020-08-28 10:34:00,0.5,
2020-08-28 10:39:00,0.0,0.0014659131857083301
2020-08-28 10:44:00,0.0,
2020-08-28 10:49:00,0.0,
2020-08-28 10:54:00,0.0,0.00137077046536577
2020-08-28 10:59:00,0.0,
2020-08-28 11:04:00,0.0,0.0013403969185610501
2020-08-28 11:09:00,0.5,
2020-08-28 11:14:00,0.0,
2020-08-28 11:19:00,0.0,
2020-08-28 11:24:00,0.0,
2020-08-28 11:29:00,0.0,
2020-08-28 11:34:00,0.0,0.0012816263753231201
2020-08-28 11:39:00,0.5,
2020-08-28 11:44:00,0.0,
2020-08-28 11:49:00,0.0,
2020-08-28 11:54:00,0.0,
2020-08-28 11:59:00,0.0,
2020-08-28 12:04:00,0.0,0.00122545291081084
2020-08-28 12:09:00,0.0,
2020-08-28 12:14:00,0.0,
2020-08-28 12:19:00,0.0,
2020-08-28 12:24:00,0.0,0.0011718305389005902
2020-08-28 12:29:00,0.0,
2020-08-28 12:34:00,0.5,
2020-08-28 12:39:00,0.0,
2020-08-28 12:44:00,0.0,
2020-08-28 12:49:00,0.0,
2020-08-28 12:54:00,0.0,
2020-08-28 12:59:00,0.0,
2020-08-28 13:04:38,0.5,0.00114596164200759
2020-08-28 13:09:00,0.0,
2020-08-28 13:14:00,0.0,
2020-08-28 13:19:00,0.0,
2020-08-28 13:24:00,0.0,
2020-08-28 13:29:00,0.0,
2020-08-28 13:34:00,0.0,
2020-08-28 13:39:00,0.0,
2020-08-28 13:44:00,0.0,
2020-08-28 13:49:00,0.0,
2020-08-28 13:54:00,0.0,
2020-08-28 13:59:00,0.0,
2020-08-28 14:04:00,0.0,0.00109607968501861
2020-08-28 14:09:00,0.0,
2020-08-28 14:14:00,0.0,
2020-08-28 14:19:00,0.0,
2020-08-28 14:24:00,0.0,
2020-08-28 14:29:00,0.0,
2020-08-28 14:34:00,0.0,
2020-08-28 14:39:00,0.0,
2020-08-28 14:44:00,0.0,
2020-08-28 14:49:00,0.0,
2020-08-28 14:54:00,0.0,
2020-08-28 14:59:00,0.0,
2020-08-28 15:04:00,0.0,0.00107205512839171
2020-08-28 15:09:00,0.0,
2020-08-28 15:14:00,0.0,
2020-08-28 15:19:00,0.0,
2020-08-28 15:24:00,0.0,
2020-08-28 15:29:00,0.0,
2020-08-28 15:34:00,0.0,
2020-08-28 15:39:00,0.0,0.00102581011754586
2020-08-28 15:44:00,0.0,
2020-08-28 15:49:00,0.0,
2020-08-28 15:54:00,0.0,
2020-08-28 15:59:00,0.0,
