dateP,P_mm,Q_m3s
2020-02-29 02:14:57,0.5,
2020-02-29 02:19:00,0.0,0.0173202448048514
2020-02-29 02:24:00,0.0,
2020-02-29 02:29:00,0.0,
2020-02-29 02:34:00,0.0,0.017138078007992198
2020-02-29 02:39:00,0.0,
2020-02-29 02:44:00,0.0,
2020-02-29 02:49:00,0.0,0.0173202448048514
2020-02-29 02:54:00,0.0,
2020-02-29 02:59:10,0.5,
2020-02-29 03:04:00,0.0,0.0173202448048514
2020-02-29 03:09:00,0.0,
2020-02-29 03:14:00,0.0,
2020-02-29 03:19:00,0.0,0.0180672846227641
2020-02-29 03:24:00,0.0,
2020-02-29 03:29:00,0.0,
2020-02-29 03:34:00,0.0,0.0178777681837685
2020-02-29 03:39:00,0.5,
2020-02-29 03:44:00,0.0,
2020-02-29 03:49:00,0.0,0.017690089597766502
2020-02-29 03:54:00,0.0,
2020-02-29 03:59:00,0.0,
2020-02-29 04:04:00,0.0,0.0182586392097265
2020-02-29 04:09:24,0.5,
2020-02-29 04:14:00,0.0,
2020-02-29 04:19:00,0.0,0.018843734808144302
2020-02-29 04:24:00,0.0,
2020-02-29 04:29:00,0.5,
2020-02-29 04:34:00,0.0,0.0184518322396286
2020-02-29 04:39:00,0.0,
2020-02-29 04:44:00,0.0,
2020-02-29 04:49:00,0.5,0.019042444936704
2020-02-29 04:54:00,0.0,
2020-02-29 04:59:00,0.0,
2020-02-29 05:04:00,0.0,0.0192429946880956
2020-02-29 05:09:00,0.5,
2020-02-29 05:14:00,0.0,
2020-02-29 05:19:00,0.0,0.0198556846289924
2020-02-29 05:24:00,0.0,
2020-02-29 05:29:00,0.0,
2020-02-29 05:34:00,0.5,0.020273348111589002
2020-02-29 05:39:00,0.0,
2020-02-29 05:44:00,0.5,
2020-02-29 05:49:00,0.0,0.0206983771648664
2020-02-29 05:54:00,0.0,
2020-02-29 05:59:00,0.0,
2020-02-29 06:04:00,0.5,0.021349736351837203
2020-02-29 06:09:00,0.0,
2020-02-29 06:14:00,0.0,
2020-02-29 06:19:47,0.5,0.021793189655873
2020-02-29 06:24:00,0.0,
2020-02-29 06:29:00,0.0,
2020-02-29 06:34:00,0.0,0.022702220113506703
2020-02-29 06:39:00,0.0,
2020-02-29 06:44:00,0.5,
2020-02-29 06:49:00,0.0,0.024121110820628
2020-02-29 06:54:00,0.0,
2020-02-29 06:59:00,0.0,
2020-02-29 07:04:43,0.5,0.0246088425009847
2020-02-29 07:09:00,0.0,
2020-02-29 07:14:00,0.0,
2020-02-29 07:19:00,0.0,0.0248554786894135
2020-02-29 07:24:00,0.5,
2020-02-29 07:29:00,0.0,
2020-02-29 07:34:00,0.0,0.025860499314169602
2020-02-29 07:39:00,0.0,
2020-02-29 07:44:00,0.0,
2020-02-29 07:49:00,0.5,0.027158367927934902
2020-02-29 07:54:00,0.0,
2020-02-29 07:59:00,0.0,
2020-02-29 08:04:00,0.0,0.027690462936848702
2020-02-29 08:09:00,0.5,
2020-02-29 08:14:00,0.0,
2020-02-29 08:19:00,0.0,0.027423490311460998
2020-02-29 08:24:00,0.0,
2020-02-29 08:29:00,0.0,
2020-02-29 08:34:00,0.5,0.0279592860990709
2020-02-29 08:39:00,0.0,
2020-02-29 08:44:00,0.0,
2020-02-29 08:49:00,0.0,0.028229960093100602
2020-02-29 08:54:00,0.0,
2020-02-29 08:59:00,0.5,
2020-02-29 09:04:00,0.0,0.0290530900157656
2020-02-29 09:09:00,0.0,
2020-02-29 09:14:00,0.5,
2020-02-29 09:19:00,0.0,0.0290530900157656
2020-02-29 09:24:58,0.5,
2020-02-29 09:29:00,0.0,
2020-02-29 09:34:00,0.0,0.0304620173871757
2020-02-29 09:39:00,0.0,
2020-02-29 09:44:00,0.5,
2020-02-29 09:49:00,0.0,0.030176526119656
2020-02-29 09:54:00,0.0,
2020-02-29 09:59:06,0.5,
2020-02-29 10:04:00,0.0,0.030749362141260398
2020-02-29 10:09:00,0.0,
2020-02-29 10:14:00,0.0,
2020-02-29 10:19:00,0.0,0.030749362141260398
2020-02-29 10:24:00,0.5,
2020-02-29 10:29:00,0.0,
2020-02-29 10:34:00,0.0,0.0313296132890168
2020-02-29 10:39:00,0.0,
2020-02-29 10:44:00,0.0,
2020-02-29 10:49:00,0.0,0.032213898534214504
2020-02-29 10:54:00,0.0,
2020-02-29 10:59:00,0.5,
2020-02-29 11:04:00,0.0,0.0316225202726346
2020-02-29 11:09:00,0.0,
2020-02-29 11:14:00,0.0,
2020-02-29 11:19:00,0.0,0.0319172819227095
2020-02-29 11:24:00,0.0,
2020-02-29 11:29:00,0.0,
2020-02-29 11:34:00,0.0,0.032213898534214504
2020-02-29 11:39:00,0.0,
2020-02-29 11:44:00,0.0,
2020-02-29 11:49:00,0.0,0.0319172819227095
2020-02-29 11:54:00,0.0,
2020-02-29 11:59:00,0.0,
2020-02-29 12:04:00,0.5,0.0319172819227095
2020-02-29 12:09:00,0.0,
2020-02-29 12:14:00,0.0,
2020-02-29 12:19:00,0.0,0.0316225202726346
2020-02-29 12:24:00,0.0,
2020-02-29 12:29:00,0.0,
2020-02-29 12:34:00,0.0,0.0310385606768831
2020-02-29 12:39:00,0.0,
2020-02-29 12:44:00,0.0,
2020-02-29 12:49:00,0.0,0.0304620173871757
2020-02-29 12:54:00,0.0,
2020-02-29 12:59:00,0.0,
2020-02-29 13:04:00,0.0,0.0304620173871757
2020-02-29 13:09:00,0.0,
2020-02-29 13:14:00,0.0,
2020-02-29 13:19:00,0.0,0.0304620173871757
2020-02-29 13:24:00,0.0,
2020-02-29 13:29:00,0.5,
2020-02-29 13:34:00,0.0,0.0298928880437281
2020-02-29 13:39:00,0.0,
2020-02-29 13:44:58,0.5,
2020-02-29 13:49:00,0.0,0.030176526119656
2020-02-29 13:54:00,0.5,
2020-02-29 13:59:03,0.5,
2020-02-29 14:04:00,0.0,0.029331170286755998
2020-02-29 14:09:00,0.0,
2020-02-29 14:14:00,0.0,
2020-02-29 14:19:00,0.0,0.0296111028644192
2020-02-29 14:24:00,0.0,
2020-02-29 14:29:00,0.0,
2020-02-29 14:34:00,0.0,0.0287768617564749
2020-02-29 14:39:00,0.0,
2020-02-29 14:44:00,1.5,
2020-02-29 14:49:53,1.0,0.0290530900157656
2020-02-29 14:54:00,0.0,
2020-02-29 14:59:00,0.0,
2020-02-29 15:04:00,0.5,0.0313296132890168
2020-02-29 15:09:00,0.0,
2020-02-29 15:14:00,0.5,
2020-02-29 15:19:00,0.0,0.0313296132890168
2020-02-29 15:24:00,0.0,
2020-02-29 15:29:00,0.0,
2020-02-29 15:34:00,0.0,0.0316225202726346
2020-02-29 15:39:00,0.0,
2020-02-29 15:44:00,0.0,
2020-02-29 15:49:00,0.0,0.0319172819227095
2020-02-29 15:54:00,0.0,
2020-02-29 15:59:00,0.0,
2020-02-29 16:04:00,0.0,0.0319172819227095
2020-02-29 16:09:00,0.0,
2020-02-29 16:14:00,0.0,
2020-02-29 16:19:00,0.0,0.0334189204939972
2020-02-29 16:24:00,0.0,
2020-02-29 16:29:00,0.0,
2020-02-29 16:34:00,0.0,0.0343421785125299
2020-02-29 16:39:00,0.0,
2020-02-29 16:44:00,0.0,
2020-02-29 16:49:00,0.0,0.0337248163372487
2020-02-29 16:54:00,0.0,
2020-02-29 16:59:00,0.0,
2020-02-29 17:04:00,0.0,0.033114881087041095
2020-02-29 17:09:00,0.5,
2020-02-29 17:14:00,0.0,
2020-02-29 17:19:00,0.0,0.0319172819227095
2020-02-29 17:24:00,0.5,
2020-02-29 17:29:00,0.0,
2020-02-29 17:34:00,0.5,0.0328126978214073
2020-02-29 17:39:00,0.0,
2020-02-29 17:44:00,0.0,
2020-02-29 17:49:00,0.0,0.0337248163372487
2020-02-29 17:54:00,0.0,
2020-02-29 17:59:00,0.0,
2020-02-29 18:04:00,0.0,0.034653645434505796
2020-02-29 18:09:00,0.0,
2020-02-29 18:14:00,0.5,
2020-02-29 18:19:00,0.0,0.0337248163372487
2020-02-29 18:24:00,0.0,
2020-02-29 18:29:00,0.0,
2020-02-29 18:34:00,0.0,0.0340325689117686
2020-02-29 18:39:00,0.0,
2020-02-29 18:44:00,0.0,
2020-02-29 18:49:00,0.0,0.0337248163372487
2020-02-29 18:54:00,0.0,
2020-02-29 18:59:00,0.0,
2020-02-29 19:04:00,0.0,0.0337248163372487
2020-02-29 19:09:00,0.0,
2020-02-29 19:14:00,0.0,
2020-02-29 19:19:00,0.0,0.033114881087041095
2020-02-29 19:24:00,0.0,
2020-02-29 19:29:00,0.0,
2020-02-29 19:34:00,0.0,0.032213898534214504
2020-02-29 19:39:00,0.5,
2020-02-29 19:44:00,0.0,
2020-02-29 19:49:00,0.0,0.0316225202726346
2020-02-29 19:54:00,0.0,
2020-02-29 19:59:00,0.0,
2020-02-29 20:04:00,0.0,0.0313296132890168
2020-02-29 20:09:00,0.0,
2020-02-29 20:14:00,0.0,
2020-02-29 20:19:00,0.0,0.0319172819227095
2020-02-29 20:24:00,0.0,
2020-02-29 20:29:00,0.5,
2020-02-29 20:34:00,0.0,0.0319172819227095
2020-02-29 20:39:00,0.0,
2020-02-29 20:44:00,0.0,
2020-02-29 20:49:00,0.0,0.0316225202726346
2020-02-29 20:54:00,0.0,
2020-02-29 20:59:00,0.0,
2020-02-29 21:04:00,0.0,0.0316225202726346
2020-02-29 21:09:00,0.0,
2020-02-29 21:14:00,0.0,
2020-02-29 21:19:00,0.0,0.030176526119656
2020-02-29 21:24:00,0.0,
2020-02-29 21:29:00,0.0,
2020-02-29 21:34:00,0.0,0.030749362141260398
2020-02-29 21:39:00,0.0,
2020-02-29 21:44:00,0.0,
2020-02-29 21:49:00,0.0,0.0313296132890168
2020-02-29 21:54:00,0.0,
2020-02-29 21:59:00,0.0,
2020-02-29 22:04:00,0.0,0.030176526119656
2020-02-29 22:09:00,0.0,
2020-02-29 22:14:00,0.0,
2020-02-29 22:19:00,0.0,0.030176526119656
2020-02-29 22:24:00,0.0,
2020-02-29 22:29:00,0.5,
2020-02-29 22:34:00,0.0,0.030176526119656
2020-02-29 22:39:00,0.0,
2020-02-29 22:44:00,0.0,
2020-02-29 22:49:00,0.0,0.0296111028644192
2020-02-29 22:54:00,0.0,
2020-02-29 22:59:00,0.0,
2020-02-29 23:04:00,0.0,0.029331170286755998
2020-02-29 23:09:00,0.0,
2020-02-29 23:14:00,0.0,
2020-02-29 23:19:00,0.0,0.0290530900157656
2020-02-29 23:24:00,0.0,
2020-02-29 23:29:00,0.0,
2020-02-29 23:34:00,0.0,0.028229960093100602
2020-02-29 23:39:00,0.0,
2020-02-29 23:44:00,0.0,
2020-02-29 23:49:00,0.0,0.028229960093100602
2020-02-29 23:54:00,0.0,
2020-02-29 23:59:00,0.0,
2020-03-01 00:04:00,0.0,0.0285024852139109
2020-03-01 00:09:00,0.0,
2020-03-01 00:14:00,0.0,
2020-03-01 00:19:00,0.0,0.028229960093100602
2020-03-01 00:24:00,0.0,
2020-03-01 00:29:00,0.0,
2020-03-01 00:34:00,0.0,0.028229960093100602
2020-03-01 00:39:00,0.0,
2020-03-01 00:44:00,0.0,
2020-03-01 00:49:00,0.0,0.028229960093100602
2020-03-01 00:54:00,0.0,
2020-03-01 00:59:00,0.0,
2020-03-01 01:04:00,0.0,0.027690462936848702
2020-03-01 01:09:00,0.0,
2020-03-01 01:14:00,0.0,
2020-03-01 01:19:00,0.0,0.027423490311460998
2020-03-01 01:24:00,0.0,
2020-03-01 01:29:00,0.0,
2020-03-01 01:34:00,0.0,0.027690462936848702
2020-03-01 01:39:00,0.0,
2020-03-01 01:44:00,0.0,
2020-03-01 01:49:00,0.0,0.026895095491297098
2020-03-01 01:54:00,0.0,
2020-03-01 01:59:00,0.0,
2020-03-01 02:04:00,0.0,0.027690462936848702
2020-03-01 02:09:00,0.0,
2020-03-01 02:14:00,0.0,
2020-03-01 02:19:00,0.0,0.0266336727065748
2020-03-01 02:24:00,0.0,
2020-03-01 02:29:00,0.0,
2020-03-01 02:34:00,0.0,0.025860499314169602
2020-03-01 02:39:00,0.0,
2020-03-01 02:44:00,0.0,
2020-03-01 02:49:00,0.0,0.0266336727065748
2020-03-01 02:54:00,0.0,
2020-03-01 02:59:00,0.0,
2020-03-01 03:04:00,0.0,0.026374099278794697
2020-03-01 03:09:00,0.0,
2020-03-01 03:14:00,0.0,
2020-03-01 03:19:00,0.0,0.026374099278794697
2020-03-01 03:24:00,0.0,
2020-03-01 03:29:00,0.0,
2020-03-01 03:34:00,0.0,0.026374099278794697
2020-03-01 03:39:00,0.0,
2020-03-01 03:44:00,0.0,
2020-03-01 03:49:00,0.0,0.025860499314169602
2020-03-01 03:54:00,0.0,
2020-03-01 03:59:00,0.0,
2020-03-01 04:04:00,0.0,0.025860499314169602
2020-03-01 04:09:00,0.0,
2020-03-01 04:14:00,0.0,
2020-03-01 04:19:00,0.0,0.0251039621699733
2020-03-01 04:24:00,0.0,
2020-03-01 04:29:00,0.0,
2020-03-01 04:34:00,0.0,0.0253542932376373
2020-03-01 04:39:00,0.0,
2020-03-01 04:44:00,0.0,
2020-03-01 04:49:00,0.0,0.0246088425009847
2020-03-01 04:54:00,0.0,
2020-03-01 04:59:00,0.0,
2020-03-01 05:04:00,0.0,0.0246088425009847
2020-03-01 05:09:00,0.0,
2020-03-01 05:14:00,0.0,
2020-03-01 05:19:00,0.0,0.0248554786894135
2020-03-01 05:24:00,0.0,
2020-03-01 05:29:00,0.0,
2020-03-01 05:34:00,0.0,0.0243640533097139
2020-03-01 05:39:00,0.0,
2020-03-01 05:44:00,0.0,
2020-03-01 05:49:00,0.0,0.0243640533097139
2020-03-01 05:54:00,0.0,
2020-03-01 05:59:00,0.0,
2020-03-01 06:04:00,0.0,0.023403360616749802
2020-03-01 06:09:00,0.0,
2020-03-01 06:14:00,0.0,
2020-03-01 06:19:00,0.0,0.023880014738754098
2020-03-01 06:24:00,0.0,
2020-03-01 06:29:00,0.0,
2020-03-01 06:34:00,0.0,0.024121110820628
2020-03-01 06:39:00,0.0,
2020-03-01 06:44:00,0.0,
2020-03-01 06:49:00,0.0,0.023880014738754098
2020-03-01 06:54:00,0.0,
2020-03-01 06:59:00,0.0,
2020-03-01 07:04:00,0.0,0.023403360616749802
2020-03-01 07:09:00,0.0,
2020-03-01 07:14:00,0.0,
2020-03-01 07:19:00,0.0,0.023403360616749802
2020-03-01 07:24:00,0.0,
2020-03-01 07:29:00,0.0,
2020-03-01 07:34:00,0.0,0.0231678019866734
2020-03-01 07:39:00,0.0,
2020-03-01 07:44:00,0.0,
2020-03-01 07:49:00,0.0,0.023403360616749802
2020-03-01 07:54:00,0.0,
2020-03-01 07:59:00,0.0,
2020-03-01 08:04:00,0.0,0.023403360616749802
2020-03-01 08:09:00,0.0,
2020-03-01 08:14:00,0.0,
2020-03-01 08:19:00,0.0,0.0231678019866734
2020-03-01 08:24:00,0.0,
2020-03-01 08:29:00,0.0,
2020-03-01 08:34:00,0.0,0.023640764769119103
2020-03-01 08:39:00,0.0,
2020-03-01 08:44:00,0.0,
2020-03-01 08:49:00,0.0,0.0231678019866734
2020-03-01 08:54:00,0.0,
2020-03-01 08:59:00,0.0,
2020-03-01 09:04:00,0.0,0.0229340885839167
2020-03-01 09:09:00,0.0,
2020-03-01 09:14:00,0.0,
2020-03-01 09:19:00,0.0,0.0229340885839167
2020-03-01 09:24:00,0.0,
2020-03-01 09:29:00,0.0,
2020-03-01 09:34:00,0.0,0.022702220113506703
2020-03-01 09:39:00,0.0,
2020-03-01 09:44:00,0.0,
2020-03-01 09:49:00,0.0,0.0229340885839167
2020-03-01 09:54:00,0.0,
2020-03-01 09:59:00,0.0,
2020-03-01 10:04:00,0.0,0.022702220113506703
2020-03-01 10:09:00,0.0,
2020-03-01 10:14:00,0.0,
2020-03-01 10:19:00,0.0,0.022702220113506703
2020-03-01 10:24:00,0.0,
2020-03-01 10:29:00,0.0,
