date;P_mm;Q_inf_LH;Q_ruiss_LH
2022-03-30 16:02:00;0.0;0.0;0.0
2022-03-30 16:04:00;0.0;0.0;0.0
2022-03-30 16:06:00;0.0;0.0;0.0
2022-03-30 16:08:00;0.0;0.0;0.0
2022-03-30 16:10:00;0.0;0.0;0.0
2022-03-30 16:12:00;0.0;0.0;0.0
2022-03-30 16:14:00;0.0;0.0;0.0
2022-03-30 16:16:00;0.0;0.0;0.0
2022-03-30 16:18:00;0.0;0.0;0.0
2022-03-30 16:20:00;0.0;0.0;0.0
2022-03-30 16:22:00;0.0;0.0;0.0
2022-03-30 16:24:00;0.0;0.0;0.0
2022-03-30 16:26:00;0.0;0.0;0.0
2022-03-30 16:28:00;0.0;0.0;0.0
2022-03-30 16:30:00;0.0;0.0;0.0
2022-03-30 16:32:00;0.0;0.0;0.0
2022-03-30 16:34:00;0.0;0.0;0.0
2022-03-30 16:36:00;0.0;0.0;0.0
2022-03-30 16:38:00;0.0;0.0;0.0
2022-03-30 16:40:00;0.0;0.0;0.0
2022-03-30 16:42:00;0.0;0.0;0.0
2022-03-30 16:44:00;0.0;0.0;0.0
2022-03-30 16:46:00;0.0;0.0;0.0
2022-03-30 16:48:00;0.0;0.0;0.0
2022-03-30 16:50:00;0.0;0.0;0.0
2022-03-30 16:52:00;0.0;0.0;0.0
2022-03-30 16:54:00;0.0;0.0;0.0
2022-03-30 16:56:00;0.0;0.0;0.0
2022-03-30 16:58:00;0.0;0.0;0.0
2022-03-30 17:00:00;0.0;0.0;0.0
2022-03-30 17:02:00;0.25;0.0;0.0
2022-03-30 17:04:00;0.25;0.0;0.0
2022-03-30 17:06:00;0.0;0.0;0.0
2022-03-30 17:08:00;0.25;0.0;0.0
2022-03-30 17:10:00;0.0;0.0;0.0
2022-03-30 17:12:00;0.25;0.0;0.0
2022-03-30 17:14:00;0.0;0.0;72.0
2022-03-30 17:16:00;0.25;0.0;161.2
2022-03-30 17:18:00;0.0;0.0;193.0
2022-03-30 17:20:00;0.25;0.0;176.1
2022-03-30 17:22:00;0.0;0.0;196.7
2022-03-30 17:24:00;0.25;0.0;252.0
2022-03-30 17:26:00;0.5;0.0;338.6
2022-03-30 17:28:00;0.75;0.0;542.6
2022-03-30 17:30:00;0.5;0.0;707.0
2022-03-30 17:32:00;0.75;0.0;812.0
2022-03-30 17:34:00;0.25;23.4;941.6
2022-03-30 17:36:00;0.5;57.6;905.4
2022-03-30 17:38:00;0.25;68.4;863.6
2022-03-30 17:40:00;0.5;72.6;829.4
2022-03-30 17:42:00;0.25;75.0;777.0
2022-03-30 17:44:00;0.25;72.0;704.8
2022-03-30 17:46:00;0.0;66.0;633.4
