date;P_mm;Q_inf_LH;Q_ruiss_LH
2022-04-07 11:44:00;0.0;0.0;0.0
2022-04-07 11:46:00;0.0;0.0;0.0
2022-04-07 11:48:00;0.0;0.0;0.0
2022-04-07 11:50:00;0.0;0.0;0.0
2022-04-07 11:52:00;0.0;0.0;0.0
2022-04-07 11:54:00;0.0;0.0;0.0
2022-04-07 11:56:00;0.0;0.0;0.0
2022-04-07 11:58:00;0.0;0.0;0.0
2022-04-07 12:00:00;0.0;0.0;0.0
2022-04-07 12:02:00;0.0;0.0;0.0
2022-04-07 12:04:00;0.0;0.0;0.0
2022-04-07 12:06:00;0.0;0.0;0.0
2022-04-07 12:08:00;0.0;0.0;0.0
2022-04-07 12:10:00;0.0;0.0;0.0
2022-04-07 12:12:00;0.0;0.0;0.0
2022-04-07 12:14:00;0.0;0.0;0.0
2022-04-07 12:16:00;0.0;0.0;0.0
2022-04-07 12:18:00;0.0;0.0;0.0
2022-04-07 12:20:00;0.0;0.0;0.0
2022-04-07 12:22:00;0.0;0.0;0.0
2022-04-07 12:24:00;0.0;0.0;0.0
2022-04-07 12:26:00;0.0;0.0;0.0
2022-04-07 12:28:00;0.0;0.0;0.0
2022-04-07 12:30:00;0.0;0.0;0.0
2022-04-07 12:32:00;0.0;0.0;0.0
2022-04-07 12:34:00;0.0;0.0;0.0
2022-04-07 12:36:00;0.0;0.0;0.0
2022-04-07 12:38:00;0.0;0.0;0.0
2022-04-07 12:40:00;0.0;0.0;0.0
2022-04-07 12:42:00;0.0;0.0;0.0
2022-04-07 12:44:00;0.25;0.0;0.0
2022-04-07 12:46:00;0.0;0.0;0.0
2022-04-07 12:48:00;0.25;0.0;0.0
2022-04-07 12:50:00;0.0;0.0;0.0
2022-04-07 12:52:00;0.0;0.0;0.0
2022-04-07 12:54:00;0.0;0.0;0.0
2022-04-07 12:56:00;0.0;0.0;0.0
2022-04-07 12:58:00;0.0;0.0;0.0
2022-04-07 13:00:00;0.0;0.0;0.0
2022-04-07 13:02:00;0.0;0.0;2.4
2022-04-07 13:04:00;0.0;0.0;4.2
2022-04-07 13:06:00;0.0;1.2;5.4
2022-04-07 13:08:00;0.0;0.0;7.8
2022-04-07 13:10:00;0.0;0.0;6.0
2022-04-07 13:12:00;0.0;0.0;5.4
2022-04-07 13:14:00;0.0;0.0;4.2
2022-04-07 13:16:00;0.0;0.0;3.0
2022-04-07 13:18:00;0.0;1.2;1.8
2022-04-07 13:20:00;0.0;0.0;2.4
2022-04-07 13:22:00;0.0;0.0;2.4
2022-04-07 13:24:00;0.0;0.0;2.4
2022-04-07 13:26:00;0.25;0.0;1.8
2022-04-07 13:28:00;0.0;0.0;2.4
2022-04-07 13:30:00;0.0;0.0;2.4
2022-04-07 13:32:00;0.0;0.0;2.4
2022-04-07 13:34:00;0.0;0.0;2.4
2022-04-07 13:36:00;0.0;0.0;1.8
2022-04-07 13:38:00;0.0;0.0;1.8
2022-04-07 13:40:00;0.0;0.0;1.8
2022-04-07 13:42:00;0.0;0.0;1.2
2022-04-07 13:44:00;0.0;0.0;1.2
2022-04-07 13:46:00;0.0;0.0;0.6
2022-04-07 13:48:00;0.0;0.0;1.2
2022-04-07 13:50:00;0.0;0.0;0.6
2022-04-07 13:52:00;0.0;0.0;1.2
2022-04-07 13:54:00;0.0;0.0;0.6
2022-04-07 13:56:00;0.0;0.0;0.6
2022-04-07 13:58:00;0.0;0.0;0.6
2022-04-07 14:00:00;0.0;0.0;0.6
2022-04-07 14:02:00;0.0;0.0;0.6
2022-04-07 14:04:00;0.0;0.0;0.0
2022-04-07 14:06:00;0.0;0.0;0.6
2022-04-07 14:08:00;0.0;0.0;0.6
2022-04-07 14:10:00;0.0;0.0;0.0
2022-04-07 14:12:00;0.0;0.0;0.6
2022-04-07 14:14:00;0.0;0.0;0.0
2022-04-07 14:16:00;0.0;0.0;0.6
2022-04-07 14:18:00;0.0;0.0;0.0
2022-04-07 14:20:00;0.0;0.0;0.0
2022-04-07 14:22:00;0.0;0.0;0.6
2022-04-07 14:24:00;0.0;0.0;0.0
2022-04-07 14:26:00;0.0;0.0;0.0
2022-04-07 14:28:00;0.0;0.0;0.6
2022-04-07 14:30:00;0.0;0.0;0.0
2022-04-07 14:32:00;0.0;0.0;0.0
2022-04-07 14:34:00;0.0;0.0;0.0
2022-04-07 14:36:00;0.0;0.0;0.6
2022-04-07 14:38:00;0.0;0.0;0.0
2022-04-07 14:40:00;0.0;0.0;0.0
2022-04-07 14:42:00;0.0;0.0;0.0
2022-04-07 14:44:00;0.0;0.0;0.0
2022-04-07 14:46:00;0.0;0.0;0.0
2022-04-07 14:48:00;0.0;0.0;0.6
2022-04-07 14:50:00;0.0;0.0;0.0
2022-04-07 14:52:00;0.0;0.0;0.0
