date;P_mm;Q_inf_LH;Q_ruiss_LH
2022-06-25 16:38:00;0.0;0.0;0.0
2022-06-25 16:40:00;0.0;0.0;0.0
2022-06-25 16:42:00;0.0;0.0;0.0
2022-06-25 16:44:00;0.0;0.0;0.0
2022-06-25 16:46:00;0.0;0.0;0.0
2022-06-25 16:48:00;0.0;0.0;0.0
2022-06-25 16:50:00;0.0;0.0;0.0
2022-06-25 16:52:00;0.0;0.0;0.0
2022-06-25 16:54:00;0.0;0.0;0.0
2022-06-25 16:56:00;0.0;0.0;0.0
2022-06-25 16:58:00;0.0;0.0;0.0
2022-06-25 17:00:00;0.0;0.0;0.0
2022-06-25 17:02:00;0.0;0.0;0.0
2022-06-25 17:04:00;0.0;0.0;0.0
2022-06-25 17:06:00;0.0;0.0;0.0
2022-06-25 17:08:00;0.0;0.0;0.0
2022-06-25 17:10:00;0.0;0.0;0.0
2022-06-25 17:12:00;0.0;0.0;0.0
2022-06-25 17:14:00;0.0;0.0;0.0
2022-06-25 17:16:00;0.0;0.0;0.0
2022-06-25 17:18:00;0.0;0.0;0.0
2022-06-25 17:20:00;0.0;0.0;0.0
2022-06-25 17:22:00;0.0;0.0;0.0
2022-06-25 17:24:00;0.0;0.0;0.0
2022-06-25 17:26:00;0.0;0.0;0.0
2022-06-25 17:28:00;0.0;0.0;0.0
2022-06-25 17:30:00;0.0;0.0;0.0
2022-06-25 17:32:00;0.0;0.0;0.0
2022-06-25 17:34:00;0.0;0.0;0.0
2022-06-25 17:36:00;0.0;0.0;0.0
2022-06-25 17:38:00;0.25;0.0;0.0
2022-06-25 17:40:00;0.0;0.0;0.0
2022-06-25 17:42:00;0.0;0.0;0.0
2022-06-25 17:44:00;0.25;0.0;0.0
2022-06-25 17:46:00;1.0;0.0;0.0
2022-06-25 17:48:00;0.75;0.0;200.3
2022-06-25 17:50:00;0.25;0.0;1029.0
2022-06-25 17:52:00;0.0;0.0;987.0
2022-06-25 17:54:00;0.0;1.8;776.8
2022-06-25 17:56:00;0.0;0.0;587.9
2022-06-25 17:58:00;0.0;0.0;431.9
2022-06-25 18:00:00;0.0;4.8;189.3
