year;event_id;i0;i1;hp_mm;hr_mm;P_ante_mm;Q0_Ls;V_excess_m3;preflow_class;t_start;t_end;t_peak;delta_hours_prev_end_to_start;delta_hours_prev_peak_to_peak;sequence_id;rank_in_sequence;sequence_size;n_prev_in_sequence;memory_class
2021;9;70542;76778;102.0;1.5856456216044512;0.0;1.14596164200759;1284.3729534996055;sec (1–5 L/s);2021-09-02 22:34:00;2021-09-24 14:14:00;2021-09-18 19:44:00;516.6666666666666;1088.25;22;1;3;0;isolé & sec
2021;10;76961;78552;9.0;0.04117552185204124;0.0;3.44862374452738;33.35217270015341;sec (1–5 L/s);2021-09-25 05:29:00;2021-09-30 18:04:00;2021-09-25 22:04:00;15.25;170.33333333333334;22;2;3;1;enchaîné, peu de Pante
2021;11;79102;80722;279.0;146.8616476620729;0.0;2.98221227872758;118957.93460627904;sec (1–5 L/s);2021-10-02 15:54:00;2021-10-08 06:54:00;2021-10-03 14:09:00;45.833333333333336;184.08333333333334;22;3;3;2;enchaîné, peu de Pante
2021;12;83993;85768;26.5;1.9543244172869505;0.0;18.7115356840778;1583.00277800243;très humide (>15 L/s);2021-10-19 15:29:00;2021-10-25 19:24:00;2021-10-21 02:09:00;272.5833333333333;420.0;23;1;2;0;isolé & sec
2021;13;86495;88747;316.5;228.66817430293568;0.0;18.1491003320363;185221.2211853779;très humide (>15 L/s);2021-10-28 07:59:00;2021-11-05 03:39:00;2021-10-30 05:49:00;60.583333333333336;219.66666666666666;23;2;2;1;enchaîné, peu de Pante
2021;14;96298;100940;35.0;1.110865552245464;0.0;28.2138386118883;899.8010973188258;très humide (>15 L/s);2021-12-01 08:54:00;2021-12-17 11:44:00;2021-12-04 12:44:00;629.25;846.9166666666666;24;1;1;0;isolé & sec
2021;15;102528;105114;26.0;0.48124159208504785;0.0;19.4855237979;389.80568958888875;très humide (>15 L/s);2021-12-23 00:04:00;2021-12-31 23:34:00;2021-12-28 05:34:00;132.33333333333334;568.8333333333334;25;1;1;0;isolé & sec
2022;1;1132;3744;6.5;0.009560532297608724;0.0;18.3348597224001;7.744031161063066;très humide (>15 L/s);2022-01-04 22:24:00;2022-01-14 00:04:00;2022-01-05 01:04:00;94.83333333333333;187.5;26;1;1;0;isolé & sec
2022;2;10721;12156;0.5;0.0016499435706172666;0.0;5.30098923302214;1.336454292199986;humide (5–15 L/s);2022-02-07 05:29:00;2022-02-12 05:04:00;2022-02-07 09:34:00;581.4166666666666;800.5;27;1;4;0;isolé & sec
2022;3;12420;17028;94.0;14.805231630672942;0.0;4.74261880450528;11992.237620845082;sec (1–5 L/s);2022-02-13 03:04:00;2022-03-01 03:04:00;2022-02-14 08:34:00;22.0;167.0;27;2;4;1;enchaîné, peu de Pante
2022;4;17390;18828;0.5;0.00022041267006273898;0.0;19.4855237979;0.17853426275081857;très humide (>15 L/s);2022-03-02 09:14:00;2022-03-07 09:04:00;2022-03-02 15:34:00;30.166666666666668;391.0;27;3;4;2;enchaîné, peu de Pante
2022;5;19195;20129;60.5;0.0;0.0;14.120609548481;0.0;humide (5–15 L/s);2022-03-08 15:39:00;2022-03-11 21:29:00;2022-03-08 16:04:00;30.583333333333332;144.5;27;4;4;3;enchaîné, peu de Pante
2022;6;27510;30332;24.5;2.399582737506197;0.0;39.1136904533438;1943.6620173800197;très humide (>15 L/s);2022-04-06 12:34:00;2022-04-16 07:44:00;2022-04-06 16:34:00;615.0833333333334;696.5;28;1;1;0;isolé & sec
2022;7;31500;34176;75.0;11.538140303297528;0.0;22.081963986845153;9345.893645670996;très humide (>15 L/s);2022-04-20 09:04:00;2022-04-29 16:04:00;2022-04-23 11:34:00;97.33333333333333;403.0;29;1;1;0;isolé & sec
2022;8;35094;39890;9.5;0.00010011207048988893;0.0;29.277733925569;0.08109077709681003;très humide (>15 L/s);2022-05-02 20:34:00;2022-05-19 12:14:00;2022-05-03 13:24:00;76.5;241.83333333333334;30;1;1;0;isolé & sec
2022;9;43232;44676;1.0;0.0067473480525377895;0.0;3.31926134853139;5.465351922555609;sec (1–5 L/s);2022-05-31 02:44:00;2022-06-05 03:04:00;2022-05-31 08:24:00;278.5;667.0;31;1;1;0;isolé & sec
2022;10;45606;47196;1.5;0.006653560616649509;0.0;2.08105862804653;5.389384099486102;sec (1–5 L/s);2022-06-08 08:34:00;2022-06-13 21:04:00;2022-06-09 08:19:00;77.5;215.91666666666666;32;1;1;0;isolé & sec
2022;11;49552;53580;97.0;1.5466286748623568;0.0;0.940375554053246;1252.769226638509;très sec (Q0 < 1 L/s);2022-06-22 01:24:00;2022-07-06 01:04:00;2022-06-23 11:09:00;196.33333333333334;338.8333333333333;33;1;1;0;isolé & sec
2022;12;62352;63814;28.5;0.37660396961932563;0.0;1.40181052664825;305.0492153916538;sec (1–5 L/s);2022-08-05 12:04:00;2022-08-10 13:54:00;2022-08-05 12:39:00;731.0;1033.5;34;1;1;0;isolé & sec
2022;13;64826;67620;41.0;0.20742091261735265;0.0;0.788651212836911;168.01093922005563;très sec (Q0 < 1 L/s);2022-08-14 02:14:00;2022-08-23 19:04:00;2022-08-14 13:19:00;84.33333333333333;216.66666666666666;35;1;1;0;isolé & sec
2022;14;70397;75408;70.0;0.644130794313864;0.0;1.40181052664825;521.7459433942298;sec (1–5 L/s);2022-09-02 10:29:00;2022-09-19 20:04:00;2022-09-13 18:24:00;231.41666666666666;725.0833333333334;36;1;1;0;isolé & sec
2022;15;76557;86652;134.5;3.6727014549408286;0.0;1.40181052664825;2974.8881785020712;sec (1–5 L/s);2022-09-23 19:49:00;2022-10-28 21:04:00;2022-10-21 01:34:00;95.75;895.1666666666666;37;1;3;0;isolé & sec
2022;16;87394;96907;129.5;15.399492400611837;0.0;9.181118842174476;12473.588844495589;humide (5–15 L/s);2022-10-31 10:54:00;2022-12-03 11:39:00;2022-11-09 03:14:00;61.833333333333336;457.6666666666667;37;2;3;1;enchaîné, peu de Pante
2022;17;96963;102572;96.0;52.91916777581925;0.0;18.9987712267625;42864.525898413594;très humide (>15 L/s);2022-12-03 16:19:00;2022-12-23 03:44:00;2022-12-15 12:44:00;4.666666666666667;873.5;37;3;3;2;enchaîné, peu de Pante
2022;18;104047;105119;2.5;0.000358844162055034;0.5;38.3025207395156;0.29066377126457754;très humide (>15 L/s);2022-12-28 06:39:00;2022-12-31 23:59:00;2022-12-28 10:29:00;122.91666666666667;309.75;38;1;1;0;isolé & sec
