dateP;dateQ;P_mm;Q_ls
2021-04-28 18:39:00;2021-04-28 18:39:00;0.0;9.91783201114939
2021-04-28 18:44:00;2021-04-28 18:44:00;0.0;
2021-04-28 18:49:00;2021-04-28 18:49:00;0.0;
2021-04-28 18:54:00;2021-04-28 18:54:00;0.0;
2021-04-28 18:59:00;2021-04-28 18:59:00;0.0;
2021-04-28 19:04:00;2021-04-28 19:04:00;0.0;9.91783201114939
2021-04-28 19:09:00;2021-04-28 19:09:00;0.0;
2021-04-28 19:14:00;2021-04-28 19:14:00;0.0;
2021-04-28 19:19:00;2021-04-28 19:19:00;0.0;
2021-04-28 19:24:00;2021-04-28 19:24:00;0.0;
2021-04-28 19:29:00;2021-04-28 19:29:00;0.0;
2021-04-28 19:34:00;2021-04-28 19:34:00;0.0;
2021-04-28 19:39:00;2021-04-28 19:39:00;0.0;
2021-04-28 19:44:00;2021-04-28 19:44:00;0.0;9.64540350763219
2021-04-28 19:49:00;2021-04-28 19:49:00;0.5;
2021-04-28 19:54:00;2021-04-28 19:54:00;0.0;
2021-04-28 19:59:00;2021-04-28 19:59:00;0.5;
2021-04-28 20:04:00;2021-04-28 20:04:00;0.0;9.64540350763219
2021-04-28 20:09:00;2021-04-28 20:09:00;0.5;
2021-04-28 20:14:00;2021-04-28 20:14:00;0.0;
2021-04-28 20:19:00;2021-04-28 20:19:00;0.0;
2021-04-28 20:24:00;2021-04-28 20:24:00;0.5;9.91783201114939
2021-04-28 20:29:00;2021-04-28 20:29:00;0.0;
2021-04-28 20:34:00;2021-04-28 20:34:00;0.0;
2021-04-28 20:39:00;2021-04-28 20:39:00;0.0;
2021-04-28 20:44:00;2021-04-28 20:44:00;0.0;9.64540350763219
2021-04-28 20:49:00;2021-04-28 20:49:00;0.0;
2021-04-28 20:54:00;2021-04-28 20:54:00;0.0;
2021-04-28 20:59:00;2021-04-28 20:59:00;0.0;
2021-04-28 21:04:00;2021-04-28 21:04:00;0.0;9.64540350763219
2021-04-28 21:09:00;2021-04-28 21:09:00;0.0;
2021-04-28 21:14:00;2021-04-28 21:14:00;0.0;
2021-04-28 21:19:00;2021-04-28 21:19:00;0.0;
2021-04-28 21:24:00;2021-04-28 21:24:00;0.0;
2021-04-28 21:29:00;2021-04-28 21:29:00;0.0;
