dateP;dateQ;P_mm;Q_ls
2021-06-23 23:54:00;2021-06-23 23:54:00;2.5;12.9341813473661
2021-06-23 23:59:00;2021-06-23 23:59:00;0.0;
2021-06-24 00:04:00;2021-06-24 00:04:00;0.0;12.9341813473661
2021-06-24 00:09:00;2021-06-24 00:09:00;0.0;14.4725373177452
2021-06-24 00:14:00;2021-06-24 00:14:00;0.0;15.0113916556313
2021-06-24 00:19:00;2021-06-24 00:19:00;0.0;14.6506879909098
2021-06-24 00:24:00;2021-06-24 00:24:00;0.0;
2021-06-24 00:29:00;2021-06-24 00:29:00;0.0;14.2958464196908
2021-06-24 00:34:00;2021-06-24 00:34:00;0.0;
2021-06-24 00:39:00;2021-06-24 00:39:00;0.0;14.6506879909098
2021-06-24 00:44:00;2021-06-24 00:44:00;0.0;15.7505692100757
2021-06-24 00:49:00;2021-06-24 00:49:00;0.0;16.7248761805267
2021-06-24 00:54:00;2021-06-24 00:54:00;0.0;18.3348597224001
2021-06-24 00:59:00;2021-06-24 00:59:00;0.0;20.084079949925
2021-06-24 01:04:00;2021-06-24 01:04:00;0.0;21.7559895870357
2021-06-24 01:09:00;2021-06-24 01:09:00;0.0;22.4113861961768
2021-06-24 01:14:00;2021-06-24 01:14:00;0.0;22.8569383482985
2021-06-24 01:19:00;2021-06-24 01:19:00;0.0;24.0010080619214
2021-06-24 01:24:00;2021-06-24 01:24:00;0.0;
2021-06-24 01:29:00;2021-06-24 01:29:00;0.0;
2021-06-24 01:34:00;2021-06-24 01:34:00;0.0;
2021-06-24 01:39:00;2021-06-24 01:39:00;0.0;
2021-06-24 01:44:00;2021-06-24 01:44:00;0.0;
2021-06-24 01:49:00;2021-06-24 01:49:00;0.0;23.0823015481676
2021-06-24 01:54:00;2021-06-24 01:54:00;0.0;
2021-06-24 01:59:00;2021-06-24 01:59:00;0.0;
2021-06-24 02:04:00;2021-06-24 02:04:00;0.0;22.8569383482985
2021-06-24 02:09:00;2021-06-24 02:09:00;0.0;22.1911967105909
2021-06-24 02:14:00;2021-06-24 02:14:00;0.0;21.1161045207443
2021-06-24 02:19:00;2021-06-24 02:19:00;0.0;
2021-06-24 02:24:00;2021-06-24 02:24:00;0.0;
2021-06-24 02:29:00;2021-06-24 02:29:00;0.0;20.6981284447999
2021-06-24 02:34:00;2021-06-24 02:34:00;0.0;
2021-06-24 02:39:00;2021-06-24 02:39:00;0.0;20.2870410545667
2021-06-24 02:44:00;2021-06-24 02:44:00;0.0;
2021-06-24 02:49:00;2021-06-24 02:49:00;0.0;
2021-06-24 02:54:00;2021-06-24 02:54:00;0.0;
2021-06-24 02:59:00;2021-06-24 02:59:00;0.0;21.1161045207443
2021-06-24 03:04:00;2021-06-24 03:04:00;0.0;20.9062552637249
2021-06-24 03:09:00;2021-06-24 03:09:00;0.0;
2021-06-24 03:14:00;2021-06-24 03:14:00;0.0;21.540971415733
2021-06-24 03:19:00;2021-06-24 03:19:00;0.0;21.1161045207443
2021-06-24 03:24:00;2021-06-24 03:24:00;0.0;
2021-06-24 03:29:00;2021-06-24 03:29:00;0.0;21.540971415733
2021-06-24 03:34:00;2021-06-24 03:34:00;0.0;
2021-06-24 03:39:00;2021-06-24 03:39:00;0.0;21.1161045207443
2021-06-24 03:44:00;2021-06-24 03:44:00;0.0;20.6981284447999
2021-06-24 03:49:00;2021-06-24 03:49:00;0.0;
2021-06-24 03:54:00;2021-06-24 03:54:00;0.0;20.084079949925
2021-06-24 03:59:00;2021-06-24 03:59:00;0.0;19.6833215882583
2021-06-24 04:04:00;2021-06-24 04:04:00;0.0;19.6833215882583
2021-06-24 04:09:00;2021-06-24 04:09:00;0.0;
2021-06-24 04:14:00;2021-06-24 04:14:00;0.0;19.0950896648
2021-06-24 04:19:00;2021-06-24 04:19:00;0.0;
2021-06-24 04:24:00;2021-06-24 04:24:00;0.0;18.5223380841917
2021-06-24 04:29:00;2021-06-24 04:29:00;0.0;
2021-06-24 04:34:00;2021-06-24 04:34:00;0.0;
2021-06-24 04:39:00;2021-06-24 04:39:00;0.0;18.1491003320363
2021-06-24 04:44:00;2021-06-24 04:44:00;0.0;
2021-06-24 04:49:00;2021-06-24 04:49:00;0.0;
2021-06-24 04:54:00;2021-06-24 04:54:00;0.0;17.4232471515257
2021-06-24 04:59:00;2021-06-24 04:59:00;0.0;
2021-06-24 05:04:00;2021-06-24 05:04:00;0.0;17.2460786183009
2021-06-24 05:09:00;2021-06-24 05:09:00;0.0;
2021-06-24 05:14:00;2021-06-24 05:14:00;0.0;16.8968933994681
2021-06-24 05:19:00;2021-06-24 05:19:00;0.0;
2021-06-24 05:24:00;2021-06-24 05:24:00;0.0;
2021-06-24 05:29:00;2021-06-24 05:29:00;0.0;
2021-06-24 05:34:00;2021-06-24 05:34:00;0.0;16.3859911902608
2021-06-24 05:39:00;2021-06-24 05:39:00;0.0;
2021-06-24 05:44:00;2021-06-24 05:44:00;0.0;
2021-06-24 05:49:00;2021-06-24 05:49:00;0.0;16.7248761805267
2021-06-24 05:54:00;2021-06-24 05:54:00;0.0;16.0539703523729
2021-06-24 05:59:00;2021-06-24 05:59:00;0.0;
2021-06-24 06:04:00;2021-06-24 06:04:00;0.0;15.890533323904
2021-06-24 06:09:00;2021-06-24 06:09:00;0.0;
2021-06-24 06:14:00;2021-06-24 06:14:00;0.0;16.219122885603
2021-06-24 06:19:00;2021-06-24 06:19:00;0.0;15.890533323904
