date;P_mm;Q_inf_LH;Q_ruiss_LH
2023-11-20 19:38:00;0.0;0.0;0.0
2023-11-20 19:40:00;0.0;0.0;0.0
2023-11-20 19:42:00;0.0;0.0;0.0
2023-11-20 19:44:00;0.0;0.0;0.0
2023-11-20 19:46:00;0.0;0.0;0.0
2023-11-20 19:48:00;0.0;0.0;0.0
2023-11-20 19:50:00;0.0;0.0;0.0
2023-11-20 19:52:00;0.0;0.0;0.0
2023-11-20 19:54:00;0.0;0.0;0.0
2023-11-20 19:56:00;0.0;0.0;0.0
2023-11-20 19:58:00;0.0;0.0;0.0
2023-11-20 20:00:00;0.0;0.0;0.0
2023-11-20 20:02:00;0.0;0.0;0.0
2023-11-20 20:04:00;0.0;0.0;0.0
2023-11-20 20:06:00;0.0;0.0;0.0
2023-11-20 20:08:00;0.0;0.0;0.0
2023-11-20 20:10:00;0.0;0.0;0.0
2023-11-20 20:12:00;0.0;0.0;0.0
2023-11-20 20:14:00;0.0;0.0;0.0
2023-11-20 20:16:00;0.0;0.0;0.0
2023-11-20 20:18:00;0.0;0.0;0.0
2023-11-20 20:20:00;0.0;0.0;0.0
2023-11-20 20:22:00;0.0;0.0;0.0
2023-11-20 20:24:00;0.0;0.0;0.0
2023-11-20 20:26:00;0.0;0.0;0.0
2023-11-20 20:28:00;0.0;0.0;0.0
2023-11-20 20:30:00;0.0;0.0;0.0
2023-11-20 20:32:00;0.0;0.0;0.0
2023-11-20 20:34:00;0.0;0.0;0.0
2023-11-20 20:36:00;0.0;0.0;0.0
2023-11-20 20:38:00;0.249;0.0;0.0
2023-11-20 20:40:00;0.0;0.0;0.0
2023-11-20 20:42:00;0.499;0.0;0.0
2023-11-20 20:44:00;0.249;0.0;0.0
2023-11-20 20:46:00;0.0;0.0;217.6
2023-11-20 20:48:00;0.0;0.0;256.1
2023-11-20 20:50:00;0.0;0.0;166.5
2023-11-20 20:52:00;0.0;0.0;110.8
2023-11-20 20:54:00;0.249;0.0;100.6
2023-11-20 20:56:00;0.249;0.0;146.5
2023-11-20 20:58:00;0.0;0.0;189.1
2023-11-20 21:00:00;0.0;0.0;201.2
2023-11-20 21:02:00;0.249;2.4;222.3
2023-11-20 21:04:00;0.0;7.2;242.4
2023-11-20 21:06:00;0.0;10.2;187.6
2023-11-20 21:08:00;0.0;12.0;125.8
2023-11-20 21:10:00;0.0;16.2;81.9
2023-11-20 21:12:00;0.0;24.0;0.0
2023-11-20 21:14:00;0.0;28.2;0.0
2023-11-20 21:16:00;0.0;26.4;0.0
2023-11-20 21:18:00;0.0;24.0;0.0
2023-11-20 21:20:00;0.0;20.4;0.0
2023-11-20 21:22:00;0.0;18.0;0.0
2023-11-20 21:24:00;0.0;16.2;0.0
2023-11-20 21:26:00;0.0;15.0;0.0
2023-11-20 21:28:00;0.0;12.6;0.0
2023-11-20 21:30:00;0.0;11.4;0.0
2023-11-20 21:32:00;0.0;9.6;0.0
2023-11-20 21:34:00;0.0;9.6;0.0
2023-11-20 21:36:00;0.0;8.4;0.0
2023-11-20 21:38:00;0.0;7.2;0.0
2023-11-20 21:40:00;0.0;7.2;0.0
2023-11-20 21:42:00;0.0;7.2;0.0
2023-11-20 21:44:00;0.0;6.0;0.0
2023-11-20 21:46:00;0.0;6.0;0.0
2023-11-20 21:48:00;0.0;5.4;0.0
2023-11-20 21:50:00;0.0;4.8;0.0
2023-11-20 21:52:00;0.0;5.4;0.0
2023-11-20 21:54:00;0.0;5.4;0.0
2023-11-20 21:56:00;0.0;6.6;0.0
2023-11-20 21:58:00;0.0;6.6;0.0
2023-11-20 22:00:00;0.0;7.2;0.0
2023-11-20 22:02:00;0.0;6.6;0.0
2023-11-20 22:04:00;0.0;7.2;0.0
2023-11-20 22:06:00;0.0;7.2;0.0
2023-11-20 22:08:00;0.0;6.6;0.0
2023-11-20 22:10:00;0.0;6.6;0.0
2023-11-20 22:12:00;0.0;6.6;0.0
2023-11-20 22:14:00;0.0;6.6;0.0
2023-11-20 22:16:00;0.0;6.0;0.0
2023-11-20 22:18:00;0.0;6.0;0.0
2023-11-20 22:20:00;0.0;5.4;0.0
2023-11-20 22:22:00;0.0;6.0;0.0
2023-11-20 22:24:00;0.0;5.4;0.0
2023-11-20 22:26:00;0.0;5.4;0.0
2023-11-20 22:28:00;0.0;4.8;0.0
2023-11-20 22:30:00;0.0;5.4;0.0
2023-11-20 22:32:00;0.0;4.8;0.0
2023-11-20 22:34:00;0.0;4.8;0.0
2023-11-20 22:36:00;0.0;4.8;0.0
2023-11-20 22:38:00;0.0;4.2;0.0
2023-11-20 22:40:00;0.0;4.8;0.0
2023-11-20 22:42:00;0.0;4.2;0.0
2023-11-20 22:44:00;0.0;4.2;0.0
2023-11-20 22:46:00;0.0;4.2;0.0
2023-11-20 22:48:00;0.0;4.2;0.0
2023-11-20 22:50:00;0.0;4.2;0.0
2023-11-20 22:52:00;0.0;3.6;0.0
2023-11-20 22:54:00;0.0;4.2;0.0
2023-11-20 22:56:00;0.0;3.6;0.0
2023-11-20 22:58:00;0.0;3.6;0.0
2023-11-20 23:00:00;0.0;3.6;0.0
2023-11-20 23:02:00;0.0;3.6;0.0
2023-11-20 23:04:00;0.0;3.6;0.0
2023-11-20 23:06:00;0.0;3.6;0.0
2023-11-20 23:08:00;0.0;3.0;0.0
2023-11-20 23:10:00;0.0;3.6;0.0
2023-11-20 23:12:00;0.0;3.0;0.0
2023-11-20 23:14:00;0.0;3.6;0.0
2023-11-20 23:16:00;0.0;3.0;0.0
2023-11-20 23:18:00;0.0;3.0;0.0
2023-11-20 23:20:00;0.0;3.0;0.0
2023-11-20 23:22:00;0.0;3.6;0.0
2023-11-20 23:24:00;0.0;3.0;0.0
2023-11-20 23:26:00;0.0;3.0;0.0
2023-11-20 23:28:00;0.0;2.4;0.0
2023-11-20 23:30:00;0.0;3.0;0.0
2023-11-20 23:32:00;0.0;3.0;0.0
2023-11-20 23:34:00;0.0;2.4;0.0
2023-11-20 23:36:00;0.0;3.0;0.0
2023-11-20 23:38:00;0.0;3.0;0.0
2023-11-20 23:40:00;0.0;2.4;0.0
2023-11-20 23:42:00;0.0;2.4;0.0
2023-11-20 23:44:00;0.0;3.0;0.0
2023-11-20 23:46:00;0.0;2.4;0.0
2023-11-20 23:48:00;0.0;2.4;0.0
2023-11-20 23:50:00;0.0;3.0;0.0
2023-11-20 23:52:00;0.0;2.4;0.0
2023-11-20 23:54:00;0.0;2.4;0.0
2023-11-20 23:56:00;0.0;2.4;0.0
2023-11-20 23:58:00;0.0;2.4;0.0
2023-11-21 00:00:00;0.0;2.4;0.0
2023-11-21 00:02:00;0.0;2.4;0.0
2023-11-21 00:04:00;0.0;2.4;0.0
2023-11-21 00:06:00;0.0;2.4;0.0
2023-11-21 00:08:00;0.0;2.4;0.0
2023-11-21 00:10:00;0.0;2.4;0.0
2023-11-21 00:12:00;0.0;2.4;0.0
2023-11-21 00:14:00;0.0;1.8;0.0
2023-11-21 00:16:00;0.0;2.4;0.0
2023-11-21 00:18:00;0.0;2.4;0.0
2023-11-21 00:20:00;0.0;2.4;0.0
2023-11-21 00:22:00;0.0;1.8;0.0
2023-11-21 00:24:00;0.0;2.4;0.0
2023-11-21 00:26:00;0.0;1.8;0.0
2023-11-21 00:28:00;0.0;2.4;0.0
2023-11-21 00:30:00;0.0;2.4;0.0
