date;P_mm;Q_inf_LH;Q_ruiss_LH
2024-03-24 08:34:00;0.0;0.0;0.0
2024-03-24 08:36:00;0.0;0.0;0.0
2024-03-24 08:38:00;0.0;0.0;0.0
2024-03-24 08:40:00;0.0;0.0;0.0
2024-03-24 08:42:00;0.0;0.0;0.0
2024-03-24 08:44:00;0.0;0.0;0.0
2024-03-24 08:46:00;0.0;0.0;0.0
2024-03-24 08:48:00;0.0;0.0;0.0
2024-03-24 08:50:00;0.0;0.0;0.0
2024-03-24 08:52:00;0.0;0.0;0.0
2024-03-24 08:54:00;0.0;0.0;0.0
2024-03-24 08:56:00;0.0;0.0;0.0
2024-03-24 08:58:00;0.0;0.0;0.0
2024-03-24 09:00:00;0.0;0.0;0.0
2024-03-24 09:02:00;0.0;0.0;0.0
2024-03-24 09:04:00;0.0;0.0;0.0
2024-03-24 09:06:00;0.0;0.0;0.0
2024-03-24 09:08:00;0.0;0.0;0.0
2024-03-24 09:10:00;0.0;0.0;0.0
2024-03-24 09:12:00;0.0;0.0;0.0
2024-03-24 09:14:00;0.0;0.0;0.0
2024-03-24 09:16:00;0.0;0.0;0.0
2024-03-24 09:18:00;0.0;0.0;0.0
2024-03-24 09:20:00;0.0;0.0;0.0
2024-03-24 09:22:00;0.0;0.0;0.0
2024-03-24 09:24:00;0.0;0.0;0.0
2024-03-24 09:26:00;0.0;0.0;0.0
2024-03-24 09:28:00;0.0;0.0;0.0
2024-03-24 09:30:00;0.0;0.0;0.0
2024-03-24 09:32:00;0.0;0.0;0.0
2024-03-24 09:34:00;0.249;0.0;0.0
2024-03-24 09:36:00;0.0;0.0;0.0
2024-03-24 09:38:00;0.499;0.0;0.0
2024-03-24 09:40:00;0.0;0.0;0.0
2024-03-24 09:42:00;0.0;0.0;0.0
2024-03-24 09:44:00;0.0;0.0;21.6
2024-03-24 09:46:00;0.249;0.0;55.2
2024-03-24 09:48:00;0.0;0.0;57.6
2024-03-24 09:50:00;0.0;0.0;51.6
2024-03-24 09:52:00;0.0;0.0;44.4
2024-03-24 09:54:00;0.0;0.0;37.8
2024-03-24 09:56:00;0.0;0.0;28.2
2024-03-24 09:58:00;0.0;0.0;20.4
2024-03-24 10:00:00;0.0;0.0;14.4
2024-03-24 10:02:00;0.0;0.0;10.8
2024-03-24 10:04:00;0.0;0.0;7.8
2024-03-24 10:06:00;0.0;0.0;6.6
2024-03-24 10:08:00;0.0;0.0;4.2
2024-03-24 10:10:00;0.0;0.0;3.0
2024-03-24 10:12:00;0.0;0.0;1.8
2024-03-24 10:14:00;0.0;0.0;1.8
2024-03-24 10:16:00;0.0;0.0;1.8
2024-03-24 10:18:00;0.0;0.0;1.2
2024-03-24 10:20:00;0.0;0.0;1.2
2024-03-24 10:22:00;0.0;0.0;1.2
2024-03-24 10:24:00;0.0;0.0;1.2
2024-03-24 10:26:00;0.0;0.0;0.6
2024-03-24 10:28:00;0.0;0.0;0.6
2024-03-24 10:30:00;0.0;0.0;0.6
2024-03-24 10:32:00;0.0;0.0;0.6
2024-03-24 10:34:00;0.0;0.0;0.6
2024-03-24 10:36:00;0.0;0.0;0.6
2024-03-24 10:38:00;0.0;0.0;0.6
2024-03-24 10:40:00;0.0;0.0;0.0
2024-03-24 10:42:00;0.0;0.0;0.6
2024-03-24 10:44:00;0.0;0.0;0.6
2024-03-24 10:46:00;0.0;0.0;0.0
2024-03-24 10:48:00;0.0;0.0;0.6
2024-03-24 10:50:00;0.0;0.0;0.6
2024-03-24 10:52:00;0.0;0.0;0.0
2024-03-24 10:54:00;0.0;0.0;0.6
2024-03-24 10:56:00;0.0;0.0;0.0
2024-03-24 10:58:00;0.0;0.0;0.6
2024-03-24 11:00:00;0.0;0.0;0.0
2024-03-24 11:02:00;0.0;0.0;0.6
2024-03-24 11:04:00;0.0;0.0;0.0
2024-03-24 11:06:00;0.0;0.0;0.0
2024-03-24 11:08:00;0.0;0.0;0.6
2024-03-24 11:10:00;0.0;0.0;0.0
2024-03-24 11:12:00;0.0;0.0;0.6
2024-03-24 11:14:00;0.0;0.0;0.0
2024-03-24 11:16:00;0.0;0.0;0.0
2024-03-24 11:18:00;0.0;0.0;0.0
2024-03-24 11:20:00;0.0;0.0;0.6
2024-03-24 11:22:00;0.0;0.0;0.0
2024-03-24 11:24:00;0.0;0.0;0.0
