date;P_mm;Q_inf_LH;Q_ruiss_LH
2024-11-19 22:20:00;0.0;0.0;0.0
2024-11-19 22:22:00;0.0;0.0;0.0
2024-11-19 22:24:00;0.0;0.0;0.0
2024-11-19 22:26:00;0.0;0.0;0.0
2024-11-19 22:28:00;0.0;0.0;0.0
2024-11-19 22:30:00;0.0;0.0;0.0
2024-11-19 22:32:00;0.0;0.0;0.0
2024-11-19 22:34:00;0.0;0.0;0.0
2024-11-19 22:36:00;0.0;0.0;0.0
2024-11-19 22:38:00;0.0;0.0;0.0
2024-11-19 22:40:00;0.0;0.0;0.0
2024-11-19 22:42:00;0.0;0.0;0.0
2024-11-19 22:44:00;0.0;0.0;0.0
2024-11-19 22:46:00;0.0;0.0;0.0
2024-11-19 22:48:00;0.0;0.0;0.0
2024-11-19 22:50:00;0.0;0.0;0.0
2024-11-19 22:52:00;0.0;0.0;0.0
2024-11-19 22:54:00;0.0;0.0;0.0
2024-11-19 22:56:00;0.0;0.0;0.0
2024-11-19 22:58:00;0.0;0.0;0.0
2024-11-19 23:00:00;0.0;0.0;0.0
2024-11-19 23:02:00;0.0;0.0;0.0
2024-11-19 23:04:00;0.0;0.0;0.0
2024-11-19 23:06:00;0.0;0.0;0.0
2024-11-19 23:08:00;0.0;0.0;0.0
2024-11-19 23:10:00;0.0;0.0;0.0
2024-11-19 23:12:00;0.0;0.0;0.0
2024-11-19 23:14:00;0.0;0.0;0.0
2024-11-19 23:16:00;0.0;0.0;0.0
2024-11-19 23:18:00;0.0;0.0;0.0
2024-11-19 23:20:00;0.499;0.0;0.0
2024-11-19 23:22:00;0.748;0.0;10.2
2024-11-19 23:24:00;0.499;0.0;323.7
2024-11-19 23:26:00;0.249;0.0;602.2
2024-11-19 23:28:00;0.0;0.0;590.0
2024-11-19 23:30:00;0.249;0.0;490.1
2024-11-19 23:32:00;0.0;0.0;384.4
2024-11-19 23:34:00;0.0;0.0;262.7
2024-11-19 23:36:00;0.249;0.0;207.2
2024-11-19 23:38:00;0.0;7.2;176.6
2024-11-19 23:40:00;0.0;13.8;156.0
2024-11-19 23:42:00;0.249;14.4;152.3
2024-11-19 23:44:00;0.0;14.4;155.7
2024-11-19 23:46:00;0.0;14.4;157.1
2024-11-19 23:48:00;0.0;15.0;151.0
2024-11-19 23:50:00;0.249;15.6;140.4
2024-11-19 23:52:00;0.0;16.2;127.9
2024-11-19 23:54:00;0.0;17.4;114.2
2024-11-19 23:56:00;0.0;17.4;101.8
2024-11-19 23:58:00;0.249;17.4;102.1
2024-11-20 00:00:00;0.0;17.4;102.6
2024-11-20 00:02:00;0.0;16.8;112.3
2024-11-20 00:04:00;0.249;16.8;132.3
2024-11-20 00:06:00;0.249;17.4;182.9
2024-11-20 00:08:00;0.0;18.6;256.0
2024-11-20 00:10:00;0.0;21.0;277.0
2024-11-20 00:12:00;0.249;26.4;246.7
2024-11-20 00:14:00;0.0;31.2;198.0
2024-11-20 00:16:00;0.0;34.2;165.3
2024-11-20 00:18:00;0.249;34.2;147.7
2024-11-20 00:20:00;0.0;34.8;136.4
2024-11-20 00:22:00;0.0;37.8;135.2
2024-11-20 00:24:00;0.249;45.0;126.9
2024-11-20 00:26:00;0.0;58.8;113.0
2024-11-20 00:28:00;0.0;69.6;106.0
2024-11-20 00:30:00;0.249;78.0;103.9
2024-11-20 00:32:00;0.249;82.8;114.2
2024-11-20 00:34:00;0.0;84.0;156.9
2024-11-20 00:36:00;0.249;86.4;220.0
2024-11-20 00:38:00;0.249;117.2;240.0
2024-11-20 00:40:00;0.249;138.3;243.7
2024-11-20 00:42:00;0.0;161.9;232.4
2024-11-20 00:44:00;0.249;185.3;232.2
2024-11-20 00:46:00;0.249;213.7;226.4
2024-11-20 00:48:00;0.0;243.0;177.8
2024-11-20 00:50:00;0.0;266.5;92.2
2024-11-20 00:52:00;0.249;277.1;0.0
2024-11-20 00:54:00;0.0;272.5;0.0
2024-11-20 00:56:00;0.0;259.3;0.0
2024-11-20 00:58:00;0.0;241.6;0.0
2024-11-20 01:00:00;0.0;223.4;0.0
2024-11-20 01:02:00;0.0;205.6;0.0
2024-11-20 01:04:00;0.0;189.2;0.0
2024-11-20 01:06:00;0.249;172.9;0.0
2024-11-20 01:08:00;0.0;160.1;0.0
2024-11-20 01:10:00;0.0;147.7;0.0
2024-11-20 01:12:00;0.0;138.2;0.0
