dateP;dateQ;P_mm;Q_ls
2020-01-28 05:49:00;2020-01-28 05:49:00;0.0;82.9374053000876
2020-01-28 05:54:00;2020-01-28 05:54:00;0.0;
2020-01-28 05:59:00;2020-01-28 05:59:00;0.0;
2020-01-28 06:04:00;2020-01-28 06:04:00;0.0;82.4103789682485
2020-01-28 06:09:00;2020-01-28 06:09:00;0.0;
2020-01-28 06:14:00;2020-01-28 06:14:00;0.0;
2020-01-28 06:19:00;2020-01-28 06:19:00;0.0;81.8852438795236
2020-01-28 06:24:00;2020-01-28 06:24:00;0.0;
2020-01-28 06:29:00;2020-01-28 06:29:00;0.0;
2020-01-28 06:34:00;2020-01-28 06:34:00;0.0;82.9374053000876
2020-01-28 06:39:00;2020-01-28 06:39:00;0.0;
2020-01-28 06:44:00;2020-01-28 06:44:00;0.0;
2020-01-28 06:49:00;2020-01-28 06:49:00;0.0;82.4103789682485
2020-01-28 06:54:00;2020-01-28 06:54:00;0.0;
2020-01-28 06:59:00;2020-01-28 06:59:00;0.0;
2020-01-28 07:04:00;2020-01-28 07:04:00;0.0;82.9374053000876
2020-01-28 07:09:00;2020-01-28 07:09:00;0.0;
2020-01-28 07:14:00;2020-01-28 07:14:00;0.5;
2020-01-28 07:19:00;2020-01-28 07:19:00;0.0;79.8036100563078
2020-01-28 07:24:00;2020-01-28 07:24:00;0.0;
2020-01-28 07:29:00;2020-01-28 07:29:00;0.0;
2020-01-28 07:34:00;2020-01-28 07:34:00;0.0;80.8406462515251
2020-01-28 07:39:00;2020-01-28 07:39:00;0.0;
2020-01-28 07:44:00;2020-01-28 07:44:00;0.0;
2020-01-28 07:49:00;2020-01-28 07:49:00;0.0;78.7741329340874
2020-01-28 07:54:00;2020-01-28 07:54:00;0.0;
2020-01-28 07:59:00;2020-01-28 07:59:00;0.0;
2020-01-28 08:04:00;2020-01-28 08:04:00;0.0;78.7741329340874
2020-01-28 08:09:00;2020-01-28 08:09:00;0.0;
2020-01-28 08:14:00;2020-01-28 08:14:00;0.0;
2020-01-28 08:19:00;2020-01-28 08:19:00;0.0;78.7741329340874
2020-01-28 08:24:00;2020-01-28 08:24:00;0.0;
2020-01-28 08:29:00;2020-01-28 08:29:00;0.0;
